Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9
829,"(0, 2013)","(8, 2015)","(40, 2015)","(19, 2013)","(19, 2015)","(19, 2015)","(25, 2012)","(4, 2016)","(102, 2015)","(0, 2015)"
830,"(25, 2017)","(102, 2015)","(40, 2014)","(8, 2013)","(8, 2017)","(4, 2012)","(40, 2015)","(58, 2015)","(8, 2016)","(0, 2015)"
831,"(19, 2016)","(40, 2016)","(102, 2013)","(19, 2013)","(19, 2017)","(25, 2016)","(4, 2013)","(104, 2015)","(58, 2017)","(25, 2013)"
832,"(58, 2016)","(0, 2014)","(102, 2016)","(25, 2017)","(0, 2016)","(19, 2016)","(25, 2017)","(40, 2012)","(19, 2016)","(40, 2017)"
833,"(25, 2012)","(0, 2016)","(58, 2012)","(25, 2017)","(102, 2016)","(104, 2015)","(8, 2015)","(4, 2017)","(4, 2014)","(19, 2013)"
834,"(4, 2012)","(40, 2014)","(8, 2013)","(4, 2016)","(104, 2017)","(8, 2012)","(0, 2013)","(40, 2013)","(104, 2016)","(25, 2015)"
835,"(58, 2015)","(8, 2012)","(25, 2014)","(8, 2015)","(19, 2014)","(58, 2012)","(8, 2013)","(4, 2013)","(58, 2015)","(40, 2017)"
836,"(0, 2014)","(102, 2017)","(0, 2014)","(58, 2016)","(0, 2014)","(4, 2015)","(102, 2014)","(40, 2015)","(40, 2014)","(19, 2013)"
837,"(102, 2017)","(19, 2016)","(19, 2015)","(8, 2017)","(8, 2014)","(8, 2015)","(40, 2012)","(19, 2012)","(0, 2017)","(102, 2017)"
838,"(40, 2012)","(102, 2017)","(40, 2016)","(0, 2014)","(19, 2017)","(102, 2016)","(8, 2015)","(104, 2014)","(4, 2016)","(104, 2016)"
839,"(19, 2016)","(8, 2016)","(102, 2014)","(19, 2012)","(25, 2012)","(40, 2014)","(4, 2012)","(4, 2013)","(8, 2013)","(8, 2015)"
840,"(58, 2012)","(19, 2014)","(104, 2015)","(40, 2012)","(102, 2016)","(102, 2017)","(104, 2012)","(58, 2012)","(25, 2013)","(25, 2012)"
841,"(0, 2016)","(4, 2012)","(104, 2017)","(19, 2016)","(19, 2017)","(102, 2016)","(4, 2013)","(4, 2017)","(8, 2014)","(8, 2015)"
842,"(8, 2012)","(104, 2012)","(58, 2014)","(19, 2014)","(25, 2017)","(102, 2016)","(0, 2017)","(0, 2015)","(4, 2016)","(0, 2014)"
843,"(8, 2016)","(8, 2013)","(104, 2013)","(0, 2016)","(25, 2016)","(104, 2013)","(19, 2013)","(8, 2014)","(19, 2014)","(8, 2015)"
844,"(40, 2014)","(102, 2016)","(104, 2015)","(4, 2016)","(40, 2014)","(40, 2016)","(0, 2013)","(58, 2014)","(0, 2017)","(8, 2016)"
845,"(8, 2013)","(4, 2014)","(102, 2012)","(19, 2014)","(0, 2012)","(40, 2015)","(40, 2012)","(102, 2016)","(19, 2017)","(104, 2016)"
846,"(58, 2013)","(25, 2012)","(104, 2015)","(104, 2015)","(58, 2015)","(25, 2016)","(40, 2013)","(102, 2012)","(4, 2013)","(19, 2015)"
847,"(0, 2015)","(104, 2015)","(40, 2017)","(0, 2015)","(102, 2016)","(19, 2017)","(0, 2015)","(40, 2013)","(0, 2014)","(8, 2016)"
848,"(104, 2017)","(0, 2013)","(0, 2016)","(40, 2014)","(25, 2017)","(25, 2013)","(0, 2012)","(104, 2016)","(25, 2014)","(0, 2014)"
849,"(0, 2015)","(8, 2012)","(104, 2013)","(8, 2013)","(104, 2013)","(40, 2014)","(102, 2013)","(102, 2015)","(19, 2012)","(25, 2015)"
850,"(102, 2017)","(25, 2017)","(0, 2014)","(8, 2016)","(58, 2016)","(0, 2013)","(8, 2015)","(19, 2017)","(4, 2014)","(0, 2012)"
851,"(40, 2016)","(58, 2017)","(19, 2014)","(8, 2014)","(104, 2012)","(58, 2016)","(40, 2015)","(102, 2015)","(8, 2013)","(58, 2016)"
852,"(40, 2016)","(0, 2014)","(58, 2012)","(58, 2017)","(40, 2014)","(40, 2015)","(58, 2015)","(4, 2013)","(40, 2012)","(58, 2017)"
853,"(58, 2017)","(0, 2016)","(4, 2016)","(104, 2016)","(19, 2016)","(25, 2013)","(0, 2013)","(102, 2013)","(104, 2015)","(102, 2017)"
854,"(4, 2012)","(25, 2015)","(104, 2013)","(4, 2015)","(4, 2014)","(104, 2015)","(104, 2015)","(40, 2017)","(8, 2016)","(102, 2017)"
855,"(0, 2013)","(4, 2014)","(102, 2013)","(102, 2012)","(25, 2015)","(4, 2015)","(102, 2017)","(102, 2012)","(4, 2016)","(4, 2014)"
856,"(102, 2017)","(25, 2013)","(25, 2012)","(102, 2012)","(102, 2016)","(0, 2015)","(40, 2015)","(0, 2016)","(19, 2015)","(4, 2017)"
857,"(8, 2013)","(4, 2015)","(0, 2016)","(19, 2012)","(25, 2013)","(25, 2017)","(25, 2015)","(25, 2015)","(25, 2017)","(104, 2015)"
858,"(19, 2016)","(4, 2012)","(0, 2015)","(8, 2016)","(40, 2017)","(25, 2017)","(104, 2012)","(8, 2012)","(40, 2017)","(4, 2017)"
859,"(25, 2015)","(19, 2016)","(40, 2012)","(40, 2015)","(58, 2017)","(25, 2016)","(4, 2017)","(102, 2017)","(25, 2016)","(4, 2012)"
860,"(40, 2016)","(102, 2015)","(8, 2014)","(19, 2017)","(19, 2013)","(102, 2012)","(104, 2012)","(58, 2013)","(4, 2017)","(19, 2015)"
861,"(58, 2012)","(104, 2013)","(4, 2017)","(102, 2015)","(0, 2012)","(40, 2014)","(19, 2016)","(4, 2015)","(102, 2013)","(58, 2016)"
862,"(40, 2015)","(0, 2017)","(19, 2016)","(25, 2012)","(0, 2013)","(58, 2013)","(40, 2015)","(25, 2012)","(8, 2015)","(19, 2014)"
863,"(19, 2013)","(104, 2015)","(4, 2012)","(102, 2014)","(25, 2016)","(0, 2016)","(25, 2016)","(40, 2015)","(40, 2017)","(58, 2013)"
864,"(25, 2016)","(4, 2016)","(102, 2015)","(8, 2012)","(8, 2015)","(25, 2016)","(8, 2014)","(19, 2016)","(40, 2015)","(104, 2017)"
865,"(58, 2016)","(102, 2015)","(40, 2014)","(40, 2012)","(40, 2016)","(4, 2012)","(102, 2017)","(40, 2016)","(0, 2016)","(40, 2015)"
866,"(25, 2015)","(58, 2017)","(102, 2012)","(102, 2013)","(25, 2012)","(102, 2016)","(40, 2016)","(4, 2016)","(25, 2012)","(25, 2012)"
867,"(19, 2012)","(0, 2012)","(19, 2012)","(0, 2012)","(4, 2015)","(58, 2012)","(4, 2014)","(8, 2014)","(104, 2017)","(104, 2012)"
868,"(25, 2016)","(102, 2015)","(8, 2015)","(40, 2016)","(25, 2013)","(40, 2012)","(8, 2017)","(0, 2014)","(25, 2015)","(40, 2013)"
869,"(58, 2013)","(8, 2017)","(40, 2013)","(4, 2013)","(40, 2012)","(102, 2016)","(40, 2016)","(40, 2015)","(0, 2015)","(25, 2017)"
870,"(40, 2017)","(58, 2012)","(25, 2015)","(25, 2013)","(19, 2015)","(4, 2014)","(25, 2014)","(0, 2014)","(104, 2015)","(8, 2012)"
871,"(0, 2012)","(4, 2016)","(0, 2013)","(25, 2016)","(8, 2015)","(19, 2013)","(58, 2012)","(25, 2012)","(0, 2017)","(0, 2014)"
872,"(40, 2014)","(40, 2017)","(8, 2013)","(4, 2012)","(58, 2013)","(58, 2012)","(0, 2016)","(40, 2016)","(25, 2012)","(0, 2012)"
873,"(40, 2016)","(19, 2012)","(40, 2016)","(58, 2014)","(104, 2014)","(40, 2013)","(8, 2017)","(25, 2014)","(25, 2012)","(40, 2013)"
874,"(58, 2015)","(0, 2015)","(19, 2013)","(58, 2017)","(25, 2014)","(19, 2017)","(8, 2016)","(102, 2014)","(102, 2014)","(25, 2016)"
875,"(4, 2013)","(102, 2014)","(102, 2016)","(40, 2015)","(104, 2014)","(4, 2016)","(104, 2016)","(19, 2012)","(0, 2017)","(104, 2017)"
876,"(104, 2017)","(0, 2017)","(104, 2016)","(25, 2014)","(25, 2015)","(40, 2013)","(40, 2017)","(19, 2014)","(8, 2014)","(0, 2013)"
877,"(104, 2013)","(58, 2013)","(19, 2014)","(58, 2017)","(8, 2013)","(102, 2015)","(8, 2015)","(104, 2017)","(8, 2015)","(19, 2017)"
878,"(8, 2013)","(104, 2012)","(8, 2017)","(0, 2015)","(0, 2014)","(25, 2016)","(58, 2013)","(8, 2013)","(58, 2012)","(25, 2013)"
879,"(0, 2015)","(40, 2016)","(0, 2016)","(4, 2013)","(25, 2014)","(40, 2017)","(25, 2012)","(19, 2014)","(4, 2012)","(8, 2014)"
880,"(0, 2017)","(40, 2017)","(104, 2015)","(102, 2016)","(58, 2016)","(0, 2012)","(58, 2017)","(58, 2016)","(8, 2013)","(40, 2016)"
881,"(4, 2015)","(19, 2015)","(58, 2014)","(102, 2016)","(4, 2013)","(58, 2017)","(58, 2017)","(102, 2016)","(19, 2015)","(102, 2013)"
882,"(0, 2016)","(102, 2017)","(58, 2016)","(25, 2017)","(19, 2015)","(4, 2017)","(58, 2016)","(40, 2017)","(19, 2016)","(8, 2013)"
883,"(40, 2014)","(104, 2015)","(4, 2015)","(25, 2015)","(58, 2015)","(4, 2016)","(58, 2016)","(102, 2016)","(58, 2015)","(25, 2014)"
884,"(58, 2015)","(58, 2016)","(104, 2013)","(0, 2017)","(104, 2015)","(104, 2015)","(40, 2016)","(58, 2015)","(40, 2013)","(19, 2017)"
885,"(104, 2017)","(58, 2017)","(40, 2015)","(58, 2015)","(104, 2013)","(102, 2013)","(0, 2016)","(40, 2015)","(102, 2014)","(104, 2016)"
886,"(8, 2016)","(102, 2014)","(25, 2012)","(104, 2014)","(58, 2012)","(104, 2012)","(40, 2015)","(8, 2014)","(4, 2016)","(104, 2014)"
887,"(40, 2013)","(19, 2014)","(25, 2012)","(25, 2013)","(4, 2017)","(40, 2016)","(8, 2016)","(8, 2016)","(40, 2013)","(102, 2013)"
888,"(104, 2012)","(4, 2014)","(104, 2017)","(8, 2016)","(19, 2014)","(8, 2015)","(40, 2016)","(102, 2015)","(104, 2015)","(4, 2012)"
889,"(0, 2016)","(58, 2013)","(4, 2013)","(25, 2013)","(104, 2016)","(0, 2016)","(58, 2013)","(25, 2015)","(102, 2014)","(25, 2012)"
890,"(58, 2014)","(104, 2016)","(0, 2015)","(25, 2014)","(104, 2016)","(58, 2017)","(0, 2014)","(104, 2017)","(102, 2014)","(4, 2014)"
891,"(19, 2014)","(19, 2015)","(58, 2016)","(0, 2016)","(40, 2012)","(4, 2017)","(25, 2017)","(104, 2016)","(4, 2012)","(104, 2013)"
892,"(40, 2015)","(4, 2015)","(8, 2016)","(58, 2014)","(58, 2017)","(8, 2016)","(40, 2012)","(104, 2015)","(8, 2016)","(4, 2012)"
893,"(4, 2013)","(8, 2012)","(104, 2016)","(104, 2016)","(104, 2014)","(19, 2016)","(58, 2012)","(8, 2017)","(19, 2016)","(8, 2015)"
894,"(25, 2012)","(58, 2014)","(40, 2017)","(19, 2016)","(8, 2015)","(4, 2015)","(58, 2015)","(25, 2016)","(4, 2015)","(4, 2017)"
895,"(102, 2013)","(40, 2015)","(8, 2014)","(102, 2016)","(8, 2014)","(58, 2013)","(0, 2012)","(104, 2016)","(25, 2017)","(0, 2014)"
896,"(104, 2014)","(19, 2017)","(19, 2012)","(0, 2017)","(4, 2012)","(104, 2017)","(19, 2014)","(25, 2015)","(104, 2016)","(0, 2016)"
897,"(8, 2012)","(40, 2013)","(40, 2014)","(0, 2016)","(4, 2014)","(104, 2015)","(8, 2013)","(104, 2016)","(19, 2014)","(0, 2013)"
898,"(4, 2015)","(58, 2015)","(8, 2013)","(40, 2016)","(8, 2016)","(4, 2015)","(0, 2012)","(102, 2016)","(58, 2015)","(104, 2012)"
899,"(102, 2015)","(8, 2013)","(25, 2016)","(0, 2017)","(19, 2017)","(102, 2013)","(102, 2016)","(0, 2016)","(58, 2017)","(8, 2015)"
900,"(4, 2014)","(25, 2014)","(58, 2013)","(102, 2012)","(104, 2015)","(8, 2013)","(8, 2015)","(0, 2014)","(104, 2015)","(25, 2014)"
901,"(25, 2014)","(25, 2012)","(58, 2015)","(104, 2012)","(40, 2017)","(40, 2016)","(8, 2014)","(0, 2017)","(0, 2013)","(8, 2014)"
902,"(104, 2012)","(104, 2017)","(19, 2017)","(58, 2013)","(8, 2017)","(104, 2017)","(104, 2014)","(4, 2012)","(4, 2013)","(0, 2012)"
903,"(19, 2012)","(0, 2013)","(8, 2013)","(8, 2015)","(40, 2014)","(102, 2016)","(8, 2012)","(40, 2012)","(40, 2012)","(8, 2014)"
904,"(40, 2015)","(0, 2015)","(8, 2017)","(19, 2013)","(102, 2017)","(8, 2016)","(25, 2014)","(4, 2012)","(19, 2016)","(0, 2017)"
905,"(8, 2013)","(58, 2014)","(25, 2017)","(8, 2014)","(19, 2014)","(40, 2013)","(102, 2015)","(0, 2012)","(4, 2013)","(102, 2017)"
906,"(0, 2015)","(104, 2015)","(19, 2015)","(58, 2017)","(104, 2012)","(40, 2015)","(58, 2016)","(104, 2012)","(4, 2014)","(19, 2016)"
907,"(40, 2013)","(40, 2017)","(0, 2013)","(8, 2015)","(19, 2017)","(0, 2014)","(58, 2012)","(19, 2016)","(0, 2016)","(8, 2017)"
908,"(19, 2012)","(58, 2014)","(40, 2014)","(4, 2014)","(104, 2015)","(19, 2015)","(8, 2014)","(40, 2014)","(40, 2016)","(58, 2012)"
909,"(104, 2013)","(40, 2015)","(4, 2012)","(40, 2012)","(8, 2014)","(40, 2015)","(19, 2012)","(58, 2012)","(0, 2016)","(25, 2016)"
910,"(0, 2017)","(40, 2016)","(102, 2015)","(0, 2012)","(4, 2013)","(8, 2013)","(58, 2014)","(8, 2017)","(0, 2013)","(102, 2014)"
911,"(104, 2016)","(58, 2012)","(25, 2015)","(8, 2016)","(8, 2012)","(58, 2015)","(0, 2016)","(25, 2016)","(8, 2014)","(8, 2013)"
912,"(8, 2014)","(40, 2016)","(104, 2017)","(8, 2015)","(8, 2012)","(4, 2016)","(40, 2016)","(58, 2013)","(0, 2017)","(104, 2012)"
913,"(40, 2015)","(19, 2017)","(0, 2016)","(19, 2017)","(4, 2017)","(104, 2016)","(0, 2015)","(58, 2015)","(4, 2017)","(58, 2012)"
914,"(4, 2012)","(4, 2017)","(8, 2013)","(58, 2016)","(40, 2016)","(8, 2012)","(0, 2016)","(0, 2017)","(25, 2015)","(4, 2015)"
915,"(0, 2016)","(4, 2015)","(4, 2017)","(58, 2016)","(102, 2014)","(8, 2016)","(4, 2016)","(25, 2014)","(25, 2012)","(8, 2014)"
916,"(104, 2014)","(8, 2015)","(0, 2013)","(0, 2016)","(40, 2012)","(40, 2015)","(104, 2016)","(104, 2012)","(104, 2016)","(104, 2014)"
917,"(58, 2014)","(25, 2012)","(40, 2014)","(8, 2012)","(8, 2015)","(4, 2014)","(0, 2012)","(40, 2013)","(25, 2013)","(104, 2015)"
918,"(102, 2016)","(4, 2015)","(19, 2016)","(0, 2017)","(102, 2013)","(40, 2015)","(8, 2014)","(40, 2015)","(8, 2016)","(25, 2014)"
919,"(25, 2014)","(40, 2013)","(4, 2014)","(102, 2013)","(102, 2012)","(40, 2013)","(102, 2014)","(19, 2017)","(102, 2015)","(25, 2015)"
920,"(8, 2014)","(4, 2016)","(25, 2013)","(40, 2015)","(25, 2014)","(104, 2017)","(40, 2013)","(40, 2016)","(25, 2014)","(19, 2016)"
921,"(0, 2017)","(40, 2016)","(25, 2013)","(0, 2014)","(8, 2016)","(19, 2016)","(0, 2015)","(58, 2017)","(104, 2017)","(58, 2014)"
922,"(0, 2016)","(19, 2014)","(40, 2013)","(58, 2017)","(58, 2013)","(102, 2014)","(104, 2012)","(25, 2012)","(0, 2013)","(102, 2014)"
923,"(58, 2014)","(8, 2015)","(4, 2016)","(25, 2014)","(25, 2012)","(4, 2014)","(19, 2017)","(40, 2012)","(8, 2015)","(19, 2016)"
924,"(102, 2013)","(104, 2015)","(25, 2014)","(4, 2014)","(19, 2016)","(0, 2017)","(40, 2013)","(40, 2014)","(104, 2015)","(25, 2014)"
925,"(40, 2015)","(102, 2015)","(58, 2012)","(25, 2015)","(40, 2015)","(102, 2012)","(25, 2012)","(58, 2015)","(25, 2016)","(25, 2014)"
926,"(58, 2017)","(4, 2016)","(25, 2014)","(25, 2014)","(8, 2014)","(25, 2017)","(4, 2017)","(104, 2017)","(0, 2016)","(4, 2013)"
927,"(40, 2016)","(102, 2016)","(4, 2017)","(4, 2017)","(40, 2017)","(0, 2016)","(40, 2015)","(4, 2016)","(40, 2012)","(104, 2015)"
928,"(0, 2017)","(19, 2015)","(40, 2012)","(25, 2012)","(58, 2012)","(0, 2013)","(0, 2012)","(0, 2012)","(0, 2012)","(19, 2016)"
929,"(58, 2014)","(19, 2016)","(58, 2013)","(58, 2017)","(8, 2014)","(102, 2015)","(25, 2012)","(40, 2015)","(0, 2013)","(19, 2013)"
930,"(25, 2014)","(25, 2015)","(0, 2015)","(8, 2017)","(8, 2015)","(19, 2012)","(104, 2017)","(19, 2013)","(0, 2016)","(4, 2017)"
931,"(58, 2014)","(58, 2015)","(104, 2014)","(102, 2016)","(19, 2013)","(0, 2017)","(102, 2017)","(19, 2015)","(102, 2014)","(4, 2015)"
932,"(102, 2014)","(0, 2012)","(19, 2017)","(0, 2014)","(102, 2017)","(0, 2013)","(19, 2012)","(0, 2017)","(0, 2016)","(104, 2016)"
933,"(40, 2016)","(0, 2012)","(58, 2016)","(19, 2015)","(102, 2016)","(40, 2017)","(19, 2013)","(8, 2017)","(102, 2013)","(58, 2012)"
934,"(0, 2016)","(58, 2015)","(4, 2013)","(8, 2014)","(40, 2017)","(40, 2015)","(4, 2012)","(104, 2017)","(58, 2015)","(0, 2014)"
935,"(102, 2012)","(19, 2012)","(8, 2016)","(102, 2017)","(4, 2013)","(102, 2016)","(102, 2015)","(19, 2015)","(40, 2014)","(40, 2013)"
936,"(0, 2017)","(58, 2017)","(40, 2017)","(40, 2016)","(4, 2017)","(40, 2014)","(19, 2016)","(40, 2012)","(102, 2016)","(0, 2017)"
937,"(0, 2016)","(8, 2017)","(19, 2017)","(58, 2017)","(102, 2012)","(4, 2016)","(40, 2016)","(4, 2014)","(40, 2017)","(40, 2017)"
938,"(19, 2013)","(102, 2016)","(25, 2015)","(102, 2012)","(4, 2017)","(4, 2013)","(104, 2012)","(0, 2015)","(0, 2015)","(8, 2017)"
939,"(25, 2015)","(4, 2013)","(4, 2014)","(58, 2013)","(4, 2013)","(8, 2013)","(25, 2016)","(102, 2017)","(104, 2013)","(104, 2015)"
940,"(58, 2017)","(40, 2013)","(104, 2017)","(19, 2013)","(8, 2012)","(58, 2016)","(4, 2013)","(4, 2016)","(102, 2016)","(58, 2017)"
941,"(19, 2016)","(104, 2013)","(25, 2012)","(4, 2015)","(40, 2012)","(40, 2014)","(104, 2015)","(8, 2012)","(25, 2016)","(104, 2012)"
942,"(19, 2015)","(19, 2014)","(0, 2014)","(19, 2012)","(102, 2013)","(19, 2012)","(0, 2012)","(40, 2014)","(25, 2013)","(4, 2017)"
943,"(58, 2013)","(8, 2015)","(8, 2016)","(104, 2016)","(8, 2014)","(0, 2015)","(58, 2016)","(104, 2015)","(0, 2012)","(104, 2013)"
944,"(104, 2016)","(25, 2015)","(58, 2016)","(25, 2015)","(58, 2016)","(25, 2015)","(25, 2015)","(8, 2012)","(0, 2013)","(4, 2013)"
945,"(4, 2014)","(25, 2013)","(25, 2012)","(104, 2013)","(40, 2016)","(8, 2013)","(58, 2013)","(19, 2016)","(8, 2016)","(58, 2012)"
946,"(102, 2014)","(8, 2017)","(19, 2017)","(40, 2014)","(58, 2014)","(58, 2015)","(40, 2017)","(4, 2012)","(40, 2014)","(25, 2015)"
947,"(104, 2017)","(40, 2017)","(19, 2016)","(19, 2012)","(104, 2015)","(40, 2016)","(8, 2012)","(25, 2013)","(102, 2012)","(25, 2014)"
948,"(40, 2012)","(25, 2016)","(19, 2012)","(19, 2017)","(25, 2016)","(4, 2014)","(4, 2014)","(4, 2015)","(25, 2015)","(102, 2015)"
949,"(19, 2013)","(58, 2014)","(8, 2014)","(58, 2013)","(0, 2012)","(25, 2017)","(102, 2012)","(4, 2013)","(8, 2014)","(0, 2012)"
950,"(58, 2012)","(8, 2016)","(4, 2012)","(25, 2013)","(0, 2016)","(104, 2012)","(19, 2013)","(25, 2013)","(8, 2014)","(8, 2014)"
951,"(102, 2014)","(102, 2012)","(4, 2015)","(104, 2015)","(4, 2013)","(58, 2014)","(104, 2014)","(40, 2012)","(8, 2013)","(40, 2014)"
952,"(19, 2015)","(58, 2014)","(4, 2014)","(4, 2014)","(0, 2016)","(102, 2015)","(104, 2012)","(4, 2014)","(0, 2016)","(102, 2013)"
953,"(25, 2016)","(40, 2017)","(25, 2017)","(102, 2017)","(58, 2017)","(104, 2012)","(102, 2015)","(58, 2017)","(0, 2012)","(4, 2014)"
954,"(104, 2012)","(58, 2014)","(40, 2015)","(8, 2015)","(58, 2013)","(8, 2014)","(40, 2016)","(102, 2017)","(4, 2017)","(4, 2015)"
955,"(102, 2012)","(25, 2015)","(0, 2012)","(40, 2014)","(102, 2017)","(102, 2016)","(19, 2017)","(19, 2017)","(0, 2012)","(104, 2014)"
956,"(104, 2013)","(19, 2013)","(58, 2013)","(25, 2017)","(40, 2016)","(58, 2013)","(8, 2017)","(8, 2015)","(104, 2013)","(8, 2015)"
957,"(8, 2016)","(102, 2015)","(4, 2012)","(0, 2016)","(25, 2017)","(4, 2013)","(102, 2017)","(104, 2013)","(58, 2016)","(25, 2016)"
958,"(102, 2016)","(0, 2016)","(104, 2015)","(0, 2016)","(40, 2017)","(40, 2013)","(0, 2012)","(104, 2016)","(104, 2015)","(25, 2015)"
959,"(102, 2015)","(0, 2012)","(0, 2012)","(102, 2012)","(25, 2012)","(19, 2015)","(104, 2014)","(40, 2012)","(102, 2016)","(8, 2013)"
960,"(25, 2017)","(4, 2014)","(40, 2014)","(102, 2017)","(40, 2014)","(40, 2016)","(19, 2013)","(102, 2014)","(40, 2014)","(40, 2017)"
961,"(102, 2015)","(0, 2012)","(25, 2012)","(58, 2013)","(25, 2016)","(40, 2014)","(102, 2017)","(58, 2017)","(25, 2015)","(19, 2016)"
962,"(4, 2015)","(102, 2012)","(104, 2017)","(8, 2014)","(8, 2015)","(19, 2013)","(58, 2012)","(25, 2012)","(104, 2013)","(102, 2013)"
963,"(4, 2017)","(19, 2017)","(4, 2014)","(8, 2013)","(25, 2017)","(104, 2014)","(40, 2016)","(4, 2017)","(8, 2017)","(25, 2016)"
964,"(102, 2013)","(25, 2012)","(0, 2015)","(25, 2017)","(102, 2016)","(0, 2017)","(19, 2015)","(102, 2012)","(40, 2015)","(4, 2016)"
965,"(40, 2017)","(104, 2013)","(104, 2013)","(40, 2015)","(102, 2015)","(4, 2015)","(104, 2013)","(40, 2012)","(4, 2014)","(0, 2016)"
966,"(25, 2015)","(25, 2015)","(4, 2014)","(4, 2015)","(102, 2017)","(58, 2014)","(104, 2012)","(102, 2012)","(58, 2014)","(104, 2016)"
967,"(102, 2013)","(19, 2014)","(104, 2014)","(102, 2017)","(4, 2014)","(4, 2015)","(19, 2017)","(8, 2015)","(19, 2017)","(102, 2014)"
968,"(0, 2013)","(0, 2012)","(104, 2012)","(102, 2016)","(19, 2016)","(8, 2013)","(104, 2013)","(19, 2013)","(40, 2015)","(40, 2013)"
969,"(8, 2013)","(25, 2014)","(102, 2015)","(25, 2012)","(25, 2013)","(40, 2017)","(104, 2012)","(8, 2014)","(19, 2017)","(19, 2013)"
970,"(40, 2017)","(58, 2013)","(19, 2012)","(25, 2014)","(104, 2012)","(102, 2015)","(8, 2014)","(4, 2015)","(58, 2017)","(102, 2012)"
971,"(40, 2013)","(4, 2013)","(4, 2015)","(104, 2013)","(25, 2012)","(4, 2012)","(4, 2015)","(58, 2012)","(25, 2015)","(19, 2017)"
972,"(19, 2016)","(40, 2015)","(0, 2017)","(4, 2015)","(0, 2017)","(58, 2016)","(104, 2014)","(25, 2014)","(58, 2016)","(25, 2013)"
973,"(25, 2016)","(25, 2012)","(40, 2015)","(8, 2013)","(102, 2014)","(104, 2013)","(58, 2013)","(0, 2016)","(0, 2012)","(25, 2016)"
974,"(25, 2016)","(104, 2017)","(25, 2014)","(0, 2014)","(0, 2016)","(102, 2012)","(8, 2012)","(58, 2017)","(4, 2015)","(25, 2017)"
975,"(0, 2012)","(104, 2012)","(102, 2013)","(4, 2015)","(8, 2015)","(58, 2014)","(104, 2016)","(8, 2014)","(8, 2013)","(102, 2014)"
976,"(19, 2017)","(40, 2012)","(19, 2014)","(104, 2017)","(40, 2015)","(0, 2014)","(19, 2015)","(8, 2015)","(25, 2015)","(104, 2014)"
977,"(4, 2012)","(19, 2013)","(102, 2012)","(102, 2012)","(8, 2016)","(0, 2017)","(4, 2017)","(104, 2015)","(104, 2016)","(19, 2014)"
978,"(8, 2016)","(19, 2014)","(40, 2012)","(0, 2013)","(19, 2014)","(58, 2017)","(40, 2012)","(0, 2014)","(25, 2017)","(102, 2015)"
979,"(104, 2014)","(58, 2013)","(19, 2017)","(25, 2016)","(102, 2012)","(8, 2016)","(40, 2015)","(58, 2017)","(25, 2013)","(8, 2017)"
980,"(4, 2017)","(40, 2014)","(40, 2017)","(25, 2014)","(102, 2014)","(4, 2017)","(19, 2013)","(0, 2016)","(0, 2017)","(25, 2017)"
981,"(58, 2012)","(4, 2015)","(58, 2014)","(0, 2017)","(0, 2012)","(0, 2012)","(58, 2015)","(58, 2016)","(58, 2017)","(104, 2015)"
982,"(102, 2014)","(102, 2012)","(40, 2016)","(102, 2016)","(102, 2017)","(40, 2015)","(104, 2014)","(25, 2015)","(104, 2014)","(19, 2014)"
983,"(8, 2017)","(0, 2013)","(58, 2012)","(102, 2016)","(8, 2015)","(4, 2013)","(102, 2016)","(58, 2014)","(25, 2012)","(0, 2016)"
984,"(58, 2014)","(58, 2016)","(102, 2016)","(8, 2013)","(0, 2012)","(102, 2013)","(19, 2013)","(40, 2016)","(58, 2014)","(58, 2012)"
985,"(104, 2013)","(0, 2014)","(102, 2012)","(8, 2017)","(102, 2017)","(4, 2014)","(8, 2016)","(102, 2014)","(8, 2012)","(25, 2016)"
986,"(25, 2014)","(0, 2016)","(102, 2017)","(102, 2012)","(104, 2015)","(102, 2016)","(8, 2017)","(58, 2015)","(19, 2014)","(25, 2014)"
987,"(8, 2017)","(58, 2017)","(40, 2016)","(4, 2012)","(4, 2013)","(8, 2014)","(8, 2016)","(104, 2012)","(8, 2016)","(4, 2016)"
988,"(102, 2012)","(40, 2016)","(104, 2013)","(19, 2017)","(58, 2015)","(8, 2017)","(19, 2013)","(104, 2016)","(25, 2012)","(4, 2012)"
989,"(40, 2016)","(102, 2017)","(4, 2013)","(8, 2016)","(0, 2014)","(104, 2017)","(102, 2012)","(8, 2013)","(19, 2013)","(4, 2012)"
990,"(58, 2012)","(25, 2013)","(19, 2012)","(4, 2014)","(0, 2016)","(102, 2014)","(104, 2012)","(19, 2016)","(19, 2016)","(8, 2016)"
991,"(58, 2015)","(19, 2015)","(58, 2012)","(4, 2017)","(8, 2016)","(40, 2015)","(0, 2017)","(8, 2014)","(102, 2012)","(8, 2014)"
992,"(4, 2012)","(102, 2012)","(104, 2017)","(58, 2014)","(40, 2015)","(40, 2012)","(8, 2015)","(8, 2016)","(104, 2016)","(4, 2012)"
993,"(19, 2013)","(40, 2016)","(102, 2016)","(8, 2017)","(4, 2012)","(4, 2017)","(58, 2015)","(19, 2013)","(19, 2017)","(104, 2012)"
994,"(0, 2014)","(25, 2016)","(40, 2016)","(102, 2015)","(4, 2016)","(8, 2012)","(40, 2017)","(102, 2012)","(19, 2015)","(58, 2012)"
