Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,BM0,BM1,BM2,BM3,BM4,BM5
322,"(102, 2013, 61.6, 384.3)","(4, 2012, 107.1, 345.8)","(4, 2017, 100.3, 330.5)","(40, 2014, 45.6, 361.0)","(0, 2016, 125.1, 298.8)","(58, 2012, 121.9, 271.5)","(102, -1, 58.1, 372.8)","(4, -1, 99.6, 350.2)","(4, -1, 111.1, 303.5)","(40, -1, 46.6, 396.8)","(0, -1, 133.3, 305.5)","(58, -1, 119.0, 255.8)"
323,"(25, 2013, 127.9, 220.7)","(25, 2014, 97.7, 358.3)","(25, 2014, 136.9, 363.5)","(102, 2017, 112.7, 281.3)","(8, 2017, 82.0, 259.7)","(4, 2014, 91.1, 264.6)","(25, -1, 111.2, 215.3)","(25, -1, 95.7, 370.3)","(25, -1, 138.6, 351.0)","(102, -1, 106.2, 300.1)","(8, -1, 83.0, 265.8)","(4, -1, 80.4, 244.2)"
324,"(25, 2016, 97.3, 225.0)","(104, 2017, 88.6, 262.1)","(25, 2016, 142.3, 399.3)","(25, 2017, 91.2, 222.9)","(102, 2013, 91.3, 375.0)","(0, 2014, 100.0, 200.3)","(25, -1, 106.2, 236.1)","(104, -1, 78.8, 304.4)","(25, -1, 161.8, 382.3)","(25, -1, 96.6, 228.0)","(102, -1, 86.4, 364.4)","(0, -1, 107.9, 191.4)"
325,"(102, 2015, 140.0, 346.4)","(104, 2014, 120.3, 284.8)","(40, 2013, 104.0, 237.9)","(8, 2017, 91.0, 241.7)","(58, 2014, 93.8, 353.5)","(40, 2014, 85.6, 257.1)","(102, -1, 132.8, 378.0)","(104, -1, 118.7, 247.9)","(40, -1, 113.1, 218.6)","(8, -1, 102.2, 265.7)","(58, -1, 91.2, 329.9)","(40, -1, 74.7, 256.6)"
326,"(58, 2015, 120.7, 349.9)","(40, 2013, 87.8, 360.4)","(19, 2014, 82.0, 235.6)","(19, 2016, 98.5, 329.1)","(0, 2012, 91.6, 397.8)","(19, 2015, 60.9, 212.0)","(58, -1, 124.5, 345.9)","(40, -1, 84.6, 398.7)","(19, -1, 79.1, 206.5)","(19, -1, 95.8, 351.0)","(0, -1, 88.1, 372.5)","(19, -1, 56.3, 189.8)"
327,"(25, 2017, 84.7, 302.0)","(4, 2015, 112.9, 377.6)","(0, 2013, 69.2, 328.4)","(19, 2016, 116.0, 255.4)","(19, 2016, 106.0, 250.0)","(25, 2016, 138.2, 258.2)","(25, -1, 68.6, 303.4)","(4, -1, 118.2, 363.0)","(0, -1, 75.0, 404.8)","(19, -1, 95.0, 226.7)","(19, -1, 79.4, 255.8)","(25, -1, 152.3, 239.3)"
328,"(58, 2013, 114.6, 208.4)","(40, 2013, 83.0, 217.6)","(102, 2013, 86.6, 390.3)","(4, 2017, 94.9, 304.9)","(40, 2014, 81.4, 216.0)","(102, 2014, 110.4, 306.3)","(58, -1, 111.7, 225.8)","(40, -1, 86.8, 229.7)","(102, -1, 87.5, 434.0)","(4, -1, 76.0, 327.9)","(40, -1, 93.8, 203.6)","(102, -1, 140.6, 295.8)"
329,"(58, 2015, 100.2, 261.2)","(58, 2015, 73.9, 358.9)","(58, 2012, 69.8, 202.9)","(4, 2012, 91.8, 276.3)","(104, 2015, 78.2, 331.0)","(25, 2012, 144.0, 282.4)","(58, -1, 105.5, 285.6)","(58, -1, 74.4, 357.5)","(58, -1, 80.5, 186.4)","(4, -1, 96.0, 328.2)","(104, -1, 76.3, 367.5)","(25, -1, 157.7, 275.0)"
330,"(8, 2014, 75.7, 338.2)","(0, 2015, 138.4, 314.0)","(8, 2017, 107.0, 311.0)","(104, 2013, 130.9, 232.4)","(19, 2016, 111.8, 270.1)","(102, 2013, 129.2, 353.2)","(8, -1, 78.9, 355.1)","(0, -1, 144.8, 319.3)","(8, -1, 102.5, 328.3)","(104, -1, 107.4, 258.1)","(19, -1, 110.9, 264.4)","(102, -1, 130.8, 355.7)"
331,"(8, 2012, 68.0, 215.0)","(4, 2013, 60.6, 361.7)","(25, 2015, 110.9, 248.3)","(25, 2015, 72.4, 278.7)","(25, 2012, 116.2, 293.4)","(8, 2015, 111.2, 241.4)","(8, -1, 53.7, 194.6)","(4, -1, 62.5, 338.8)","(25, -1, 121.7, 259.7)","(25, -1, 64.1, 286.3)","(25, -1, 113.4, 281.6)","(8, -1, 113.2, 233.4)"
332,"(25, 2013, 96.3, 382.8)","(104, 2016, 119.5, 337.7)","(102, 2012, 83.0, 200.3)","(104, 2016, 124.1, 360.6)","(40, 2014, 78.5, 238.5)","(4, 2016, 130.4, 282.2)","(25, -1, 109.3, 321.2)","(104, -1, 93.9, 359.4)","(102, -1, 67.9, 220.3)","(104, -1, 141.7, 361.4)","(40, -1, 71.8, 249.4)","(4, -1, 128.1, 305.8)"
333,"(104, 2015, 107.2, 365.6)","(104, 2013, 35.0, 383.3)","(58, 2016, 61.5, 385.0)","(0, 2016, 102.0, 318.8)","(0, 2013, 139.7, 264.3)","(8, 2012, 81.6, 368.5)","(104, -1, 98.2, 347.2)","(104, -1, 31.5, 375.5)","(58, -1, 72.3, 338.2)","(0, -1, 95.9, 303.9)","(0, -1, 157.7, 274.4)","(8, -1, 79.8, 380.6)"
334,"(19, 2013, 118.2, 305.4)","(8, 2017, 123.2, 386.6)","(4, 2017, 117.7, 311.2)","(40, 2014, 68.6, 243.5)","(58, 2016, 129.4, 323.2)","(4, 2013, 52.0, 306.1)","(19, -1, 130.0, 304.0)","(8, -1, 109.8, 377.3)","(4, -1, 124.5, 346.7)","(40, -1, 66.9, 239.8)","(58, -1, 125.6, 340.9)","(4, -1, 51.3, 318.0)"
335,"(104, 2016, 117.6, 349.0)","(102, 2012, 72.7, 286.5)","(102, 2016, 92.9, 392.3)","(19, 2016, 117.2, 266.0)","(25, 2013, 131.3, 205.5)","(58, 2012, 104.6, 356.0)","(104, -1, 128.3, 387.6)","(102, -1, 71.0, 307.5)","(102, -1, 88.1, 359.2)","(19, -1, 124.5, 268.3)","(25, -1, 123.5, 196.4)","(58, -1, 96.9, 347.0)"
336,"(58, 2014, 110.7, 291.7)","(25, 2013, 100.5, 348.2)","(4, 2013, 60.5, 242.2)","(8, 2017, 90.2, 267.7)","(0, 2017, 121.9, 222.5)","(0, 2012, 90.0, 290.8)","(58, -1, 110.0, 268.2)","(25, -1, 95.5, 334.5)","(4, -1, 63.1, 201.8)","(8, -1, 99.0, 264.9)","(0, -1, 123.4, 215.5)","(0, -1, 92.2, 268.8)"
337,"(102, 2015, 111.7, 207.3)","(58, 2016, 62.5, 329.8)","(8, 2013, 109.2, 316.3)","(104, 2012, 77.3, 315.0)","(104, 2017, 118.3, 292.0)","(8, 2013, 80.5, 346.5)","(102, -1, 112.5, 202.0)","(58, -1, 61.4, 343.4)","(8, -1, 120.0, 288.7)","(104, -1, 79.5, 306.1)","(104, -1, 140.8, 303.0)","(8, -1, 78.5, 378.6)"
338,"(4, 2012, 114.3, 274.6)","(8, 2012, 82.5, 340.8)","(102, 2014, 146.7, 221.7)","(58, 2012, 101.3, 219.3)","(58, 2017, 168.4, 276.0)","(8, 2012, 124.9, 270.5)","(4, -1, 103.9, 274.4)","(8, -1, 71.5, 338.2)","(102, -1, 147.0, 197.1)","(58, -1, 84.4, 237.4)","(58, -1, 178.0, 295.9)","(8, -1, 115.0, 268.3)"
339,"(4, 2015, 65.7, 398.9)","(40, 2016, 113.2, 374.4)","(58, 2014, 60.1, 240.8)","(19, 2016, 112.8, 387.9)","(25, 2013, 99.8, 334.7)","(8, 2014, 52.2, 319.8)","(4, -1, 67.1, 389.1)","(40, -1, 117.1, 369.4)","(58, -1, 55.6, 237.7)","(19, -1, 123.2, 361.4)","(25, -1, 115.1, 332.8)","(8, -1, 57.7, 358.2)"
340,"(4, 2014, 114.5, 345.7)","(58, 2012, 66.9, 202.3)","(0, 2015, 77.1, 338.1)","(8, 2012, 85.4, 365.2)","(58, 2017, 96.3, 204.3)","(19, 2015, 122.8, 306.3)","(4, -1, 106.4, 420.4)","(58, -1, 79.3, 202.7)","(0, -1, 82.4, 301.5)","(8, -1, 77.9, 336.3)","(58, -1, 86.9, 209.2)","(19, -1, 152.2, 289.8)"
341,"(102, 2017, 97.0, 372.6)","(40, 2014, 115.8, 386.2)","(8, 2014, 89.1, 235.8)","(58, 2015, 126.1, 240.2)","(58, 2012, 91.3, 248.3)","(4, 2012, 126.8, 359.9)","(102, -1, 113.0, 354.5)","(40, -1, 139.2, 359.7)","(8, -1, 89.7, 237.6)","(58, -1, 160.6, 251.4)","(58, -1, 82.1, 245.0)","(4, -1, 130.2, 391.7)"
342,"(0, 2014, 123.4, 344.9)","(4, 2012, 84.2, 296.6)","(19, 2014, 55.3, 325.8)","(19, 2014, 79.1, 208.0)","(4, 2017, 111.6, 371.0)","(19, 2013, 65.6, 352.8)","(0, -1, 122.1, 308.9)","(4, -1, 83.7, 328.2)","(19, -1, 49.4, 338.9)","(19, -1, 76.5, 215.1)","(4, -1, 115.3, 382.3)","(19, -1, 65.6, 363.3)"
343,"(25, 2015, 96.2, 211.1)","(19, 2015, 111.5, 259.3)","(40, 2013, 81.2, 265.6)","(58, 2013, 79.9, 373.2)","(104, 2016, 95.5, 338.6)","(40, 2014, 93.0, 371.4)","(25, -1, 104.1, 211.9)","(19, -1, 116.3, 276.1)","(40, -1, 60.9, 241.8)","(58, -1, 80.9, 408.3)","(104, -1, 103.2, 286.8)","(40, -1, 98.6, 370.7)"
344,"(40, 2017, 133.7, 230.7)","(104, 2016, 122.8, 320.7)","(25, 2014, 115.7, 261.5)","(40, 2015, 97.0, 257.6)","(0, 2016, 113.1, 389.8)","(19, 2014, 79.8, 299.8)","(40, -1, 122.1, 206.6)","(104, -1, 120.9, 362.8)","(25, -1, 112.9, 255.2)","(40, -1, 96.4, 255.8)","(0, -1, 119.1, 346.6)","(19, -1, 85.9, 298.2)"
345,"(4, 2017, 63.9, 203.5)","(58, 2015, 86.9, 202.4)","(104, 2015, 88.2, 290.5)","(58, 2013, 89.2, 369.6)","(19, 2013, 98.4, 218.4)","(25, 2016, 106.8, 347.2)","(4, -1, 58.4, 196.1)","(58, -1, 72.3, 197.6)","(104, -1, 94.0, 266.5)","(58, -1, 97.5, 328.5)","(19, -1, 102.4, 225.8)","(25, -1, 109.0, 312.1)"
346,"(40, 2012, 69.0, 255.2)","(104, 2012, 149.5, 280.2)","(8, 2015, 114.7, 370.4)","(19, 2014, 117.7, 263.8)","(8, 2016, 103.4, 357.7)","(4, 2016, 89.1, 364.4)","(40, -1, 63.3, 224.6)","(104, -1, 130.4, 289.1)","(8, -1, 112.1, 334.8)","(19, -1, 105.7, 256.0)","(8, -1, 96.6, 353.5)","(4, -1, 91.7, 381.7)"
347,"(4, 2016, 120.9, 333.6)","(104, 2014, 61.5, 380.8)","(58, 2015, 155.0, 335.3)","(19, 2014, 67.7, 362.1)","(8, 2016, 141.3, 230.9)","(8, 2014, 110.9, 346.0)","(4, -1, 128.4, 301.2)","(104, -1, 66.3, 375.8)","(58, -1, 162.1, 309.9)","(19, -1, 58.9, 396.9)","(8, -1, 133.3, 242.7)","(8, -1, 103.2, 363.2)"
348,"(25, 2015, 82.7, 325.1)","(102, 2012, 54.2, 201.3)","(8, 2016, 97.1, 398.6)","(25, 2012, 100.5, 270.0)","(25, 2013, 97.3, 212.6)","(4, 2012, 55.9, 233.6)","(25, -1, 91.3, 366.9)","(102, -1, 62.7, 192.0)","(8, -1, 82.9, 446.0)","(25, -1, 81.0, 285.3)","(25, -1, 102.4, 238.6)","(4, -1, 65.2, 235.9)"
349,"(40, 2017, 114.3, 250.4)","(19, 2013, 79.2, 270.6)","(102, 2017, 107.7, 341.4)","(25, 2014, 86.4, 355.9)","(8, 2013, 113.6, 398.8)","(0, 2012, 123.6, 234.8)","(40, -1, 110.1, 199.3)","(19, -1, 79.0, 277.5)","(102, -1, 103.8, 320.5)","(25, -1, 97.1, 359.8)","(8, -1, 94.6, 360.2)","(0, -1, 131.2, 227.6)"
350,"(8, 2015, 105.8, 257.4)","(8, 2015, 111.5, 376.7)","(58, 2012, 115.1, 354.5)","(104, 2012, 86.9, 385.2)","(4, 2017, 116.6, 375.8)","(4, 2013, 87.2, 277.2)","(8, -1, 106.3, 289.6)","(8, -1, 112.8, 370.7)","(58, -1, 108.4, 333.9)","(104, -1, 75.9, 373.0)","(4, -1, 115.2, 394.3)","(4, -1, 83.0, 282.7)"
351,"(4, 2012, 109.2, 390.7)","(0, 2012, 164.9, 364.7)","(4, 2017, 53.7, 381.5)","(102, 2017, 134.3, 313.8)","(0, 2012, 92.6, 343.0)","(58, 2017, 56.9, 378.4)","(4, -1, 120.4, 390.6)","(0, -1, 167.3, 337.0)","(4, -1, 53.5, 374.8)","(102, -1, 146.1, 335.6)","(0, -1, 93.8, 351.5)","(58, -1, 57.4, 387.6)"
352,"(40, 2012, 108.2, 308.6)","(104, 2016, 75.3, 227.2)","(40, 2016, 148.9, 356.6)","(58, 2017, 113.2, 305.1)","(104, 2015, 116.1, 203.4)","(4, 2013, 105.2, 394.8)","(40, -1, 117.9, 247.6)","(104, -1, 74.3, 231.8)","(40, -1, 145.2, 351.4)","(58, -1, 119.4, 336.2)","(104, -1, 135.3, 177.6)","(4, -1, 91.2, 411.9)"
353,"(25, 2015, 92.2, 225.8)","(40, 2015, 100.3, 390.2)","(0, 2013, 79.1, 378.4)","(40, 2017, 115.8, 305.1)","(58, 2013, 154.3, 203.9)","(4, 2015, 67.3, 219.3)","(25, -1, 91.0, 241.0)","(40, -1, 79.5, 351.0)","(0, -1, 83.9, 399.2)","(40, -1, 121.4, 339.6)","(58, -1, 185.9, 201.3)","(4, -1, 62.7, 239.3)"
354,"(4, 2012, 113.9, 265.0)","(19, 2012, 79.9, 295.5)","(4, 2017, 99.9, 378.7)","(58, 2017, 118.0, 276.0)","(0, 2014, 129.8, 359.4)","(102, 2014, 105.7, 205.5)","(4, -1, 118.2, 232.2)","(19, -1, 83.0, 310.8)","(4, -1, 112.0, 371.4)","(58, -1, 119.3, 271.9)","(0, -1, 116.3, 366.1)","(102, -1, 121.6, 224.7)"
355,"(58, 2014, 99.8, 304.0)","(25, 2017, 40.8, 221.6)","(8, 2015, 94.0, 380.2)","(19, 2013, 85.7, 314.8)","(58, 2016, 120.9, 242.7)","(58, 2013, 104.8, 309.2)","(58, -1, 95.0, 311.9)","(25, -1, 46.1, 217.3)","(8, -1, 106.2, 400.5)","(19, -1, 95.3, 314.3)","(58, -1, 123.0, 253.1)","(58, -1, 101.8, 287.3)"
356,"(8, 2016, 117.1, 334.5)","(4, 2017, 97.2, 258.0)","(102, 2013, 102.5, 287.3)","(104, 2017, 115.8, 213.5)","(104, 2013, 53.9, 350.4)","(25, 2016, 93.8, 314.0)","(8, -1, 134.2, 351.3)","(4, -1, 105.5, 254.6)","(102, -1, 98.6, 315.6)","(104, -1, 108.6, 210.8)","(104, -1, 65.8, 342.7)","(25, -1, 103.9, 337.3)"
357,"(8, 2012, 121.5, 398.0)","(104, 2014, 115.9, 386.0)","(0, 2015, 116.3, 338.8)","(19, 2015, 113.9, 333.0)","(0, 2017, 92.1, 293.8)","(40, 2012, 80.9, 248.9)","(8, -1, 135.2, 416.8)","(104, -1, 117.6, 366.9)","(0, -1, 104.2, 362.4)","(19, -1, 117.4, 339.3)","(0, -1, 100.9, 305.7)","(40, -1, 79.8, 254.4)"
358,"(102, 2012, 114.8, 295.9)","(102, 2015, 119.8, 227.0)","(25, 2016, 118.9, 373.2)","(104, 2015, 119.5, 354.0)","(8, 2017, 73.9, 348.2)","(40, 2013, 83.4, 314.3)","(102, -1, 116.6, 315.4)","(102, -1, 131.1, 225.8)","(25, -1, 132.7, 421.6)","(104, -1, 120.8, 362.4)","(8, -1, 64.6, 378.5)","(40, -1, 83.4, 340.2)"
359,"(4, 2016, 137.5, 255.7)","(102, 2012, 99.8, 381.6)","(102, 2015, 118.9, 394.5)","(4, 2012, 122.4, 227.3)","(40, 2017, 75.7, 257.0)","(0, 2016, 94.3, 337.5)","(4, -1, 111.6, 226.9)","(102, -1, 117.9, 336.2)","(102, -1, 133.7, 395.6)","(4, -1, 108.1, 249.8)","(40, -1, 69.5, 258.4)","(0, -1, 84.5, 362.6)"
360,"(102, 2013, 124.9, 341.1)","(104, 2017, 91.7, 295.3)","(25, 2017, 79.8, 268.6)","(40, 2013, 91.2, 349.3)","(8, 2012, 158.7, 293.3)","(0, 2016, 117.1, 325.2)","(102, -1, 120.2, 344.9)","(104, -1, 94.0, 315.8)","(25, -1, 80.6, 240.3)","(40, -1, 87.8, 316.0)","(8, -1, 181.4, 266.2)","(0, -1, 102.3, 298.9)"
361,"(104, 2013, 107.7, 332.9)","(58, 2017, 89.0, 311.5)","(40, 2013, 165.7, 279.5)","(19, 2013, 106.0, 297.8)","(104, 2016, 76.7, 263.5)","(0, 2013, 96.5, 316.8)","(104, -1, 99.8, 356.0)","(58, -1, 86.9, 320.1)","(40, -1, 164.6, 244.8)","(19, -1, 122.8, 305.7)","(104, -1, 81.1, 266.6)","(0, -1, 86.7, 267.3)"
362,"(102, 2016, 78.2, 243.9)","(8, 2012, 117.7, 392.1)","(104, 2016, 92.2, 277.6)","(102, 2012, 97.7, 220.8)","(58, 2012, 116.2, 341.3)","(0, 2013, 88.6, 205.8)","(102, -1, 69.1, 237.0)","(8, -1, 137.0, 417.6)","(104, -1, 92.2, 282.0)","(102, -1, 104.1, 245.2)","(58, -1, 110.3, 328.0)","(0, -1, 104.2, 205.2)"
363,"(40, 2012, 143.1, 216.8)","(8, 2012, 106.2, 300.2)","(58, 2014, 85.1, 300.6)","(104, 2017, 85.7, 254.1)","(25, 2017, 67.7, 394.3)","(0, 2014, 108.8, 218.0)","(40, -1, 138.8, 231.2)","(8, -1, 105.5, 276.5)","(58, -1, 83.1, 296.5)","(104, -1, 86.1, 251.8)","(25, -1, 67.3, 329.9)","(0, -1, 93.6, 192.3)"
364,"(19, 2014, 93.1, 330.3)","(25, 2015, 104.4, 322.2)","(4, 2016, 119.3, 392.9)","(104, 2016, 92.1, 342.1)","(8, 2014, 85.0, 264.1)","(104, 2013, 98.1, 201.5)","(19, -1, 89.3, 381.6)","(25, -1, 115.3, 298.6)","(4, -1, 92.9, 397.2)","(104, -1, 93.0, 337.5)","(8, -1, 75.0, 245.8)","(104, -1, 117.7, 204.7)"
365,"(104, 2014, 116.4, 277.7)","(102, 2016, 61.8, 387.7)","(19, 2014, 78.3, 334.0)","(58, 2017, 94.6, 261.1)","(19, 2013, 128.7, 205.6)","(102, 2016, 115.1, 203.3)","(104, -1, 107.8, 274.7)","(102, -1, 50.4, 423.4)","(19, -1, 75.4, 296.1)","(58, -1, 110.5, 290.6)","(19, -1, 124.0, 207.1)","(102, -1, 117.8, 214.4)"
366,"(102, 2012, 81.4, 352.0)","(8, 2013, 98.9, 345.8)","(102, 2017, 65.4, 239.4)","(104, 2015, 114.9, 242.2)","(25, 2014, 70.0, 229.7)","(19, 2016, 88.3, 387.0)","(102, -1, 76.2, 369.5)","(8, -1, 88.4, 403.2)","(102, -1, 63.0, 254.4)","(104, -1, 99.5, 215.3)","(25, -1, 79.1, 223.4)","(19, -1, 88.8, 372.5)"
367,"(0, 2013, 127.5, 349.8)","(8, 2015, 112.1, 348.8)","(40, 2016, 109.8, 380.4)","(25, 2016, 112.9, 396.2)","(8, 2014, 153.3, 331.0)","(102, 2013, 144.5, 313.3)","(0, -1, 112.8, 364.3)","(8, -1, 110.0, 358.2)","(40, -1, 91.0, 398.2)","(25, -1, 109.7, 364.6)","(8, -1, 158.8, 305.0)","(102, -1, 134.1, 286.5)"
368,"(19, 2012, 145.1, 306.9)","(102, 2016, 113.5, 232.9)","(19, 2013, 141.2, 386.2)","(4, 2015, 70.0, 247.2)","(25, 2012, 71.5, 329.2)","(40, 2016, 66.1, 355.9)","(19, -1, 152.7, 276.5)","(102, -1, 120.5, 233.2)","(19, -1, 142.0, 369.8)","(4, -1, 79.4, 280.8)","(25, -1, 84.1, 306.2)","(40, -1, 63.3, 336.3)"
369,"(19, 2014, 126.3, 314.1)","(8, 2014, 90.8, 334.5)","(4, 2017, 98.3, 231.2)","(19, 2012, 57.2, 220.9)","(25, 2016, 96.1, 214.4)","(25, 2016, 57.9, 379.1)","(19, -1, 135.3, 286.8)","(8, -1, 88.7, 365.4)","(4, -1, 86.5, 261.3)","(19, -1, 66.0, 208.7)","(25, -1, 98.4, 228.9)","(25, -1, 62.3, 413.3)"
370,"(58, 2015, 58.5, 270.6)","(19, 2015, 66.6, 213.9)","(102, 2014, 94.6, 304.6)","(25, 2014, 134.0, 319.4)","(0, 2016, 80.6, 367.6)","(0, 2013, 85.1, 238.0)","(58, -1, 46.2, 294.9)","(19, -1, 70.9, 211.3)","(102, -1, 81.1, 302.3)","(25, -1, 127.3, 326.2)","(0, -1, 79.1, 380.5)","(0, -1, 76.8, 258.2)"
371,"(0, 2017, 62.2, 206.5)","(0, 2015, 115.4, 389.6)","(25, 2012, 74.4, 333.9)","(40, 2012, 111.0, 201.3)","(40, 2012, 92.7, 374.4)","(8, 2014, 134.6, 206.4)","(0, -1, 68.0, 217.0)","(0, -1, 129.5, 386.7)","(25, -1, 68.1, 316.1)","(40, -1, 115.3, 204.9)","(40, -1, 80.7, 377.3)","(8, -1, 124.7, 233.1)"
372,"(0, 2013, 122.7, 359.4)","(102, 2012, 143.6, 324.0)","(4, 2014, 79.9, 269.3)","(0, 2015, 119.7, 233.8)","(102, 2015, 100.0, 212.9)","(58, 2013, 111.1, 318.7)","(0, -1, 125.1, 333.7)","(102, -1, 162.0, 282.1)","(4, -1, 78.2, 289.3)","(0, -1, 117.9, 216.5)","(102, -1, 98.0, 208.1)","(58, -1, 118.4, 340.4)"
373,"(102, 2017, 134.3, 209.8)","(0, 2014, 91.7, 389.0)","(25, 2017, 142.3, 259.9)","(104, 2016, 79.7, 355.4)","(40, 2015, 142.7, 258.0)","(8, 2014, 109.0, 240.9)","(102, -1, 136.6, 210.4)","(0, -1, 95.5, 387.2)","(25, -1, 138.1, 282.6)","(104, -1, 76.4, 330.6)","(40, -1, 131.0, 274.9)","(8, -1, 103.8, 219.1)"
374,"(40, 2013, 97.1, 383.5)","(25, 2015, 116.2, 368.4)","(4, 2014, 163.8, 316.7)","(0, 2017, 77.3, 328.9)","(8, 2016, 95.6, 341.8)","(40, 2016, 45.1, 378.8)","(40, -1, 105.9, 413.3)","(25, -1, 130.3, 353.6)","(4, -1, 178.0, 311.2)","(0, -1, 68.6, 345.9)","(8, -1, 105.8, 344.4)","(40, -1, 44.5, 403.9)"
375,"(25, 2013, 50.0, 295.3)","(8, 2015, 110.8, 297.6)","(102, 2013, 81.2, 281.3)","(19, 2016, 74.7, 250.4)","(40, 2013, 81.2, 290.8)","(58, 2015, 93.5, 248.1)","(25, -1, 45.6, 337.2)","(8, -1, 92.9, 281.2)","(102, -1, 81.8, 276.5)","(19, -1, 77.9, 240.7)","(40, -1, 82.3, 306.0)","(58, -1, 73.5, 254.5)"
376,"(25, 2015, 69.1, 379.9)","(104, 2014, 98.3, 211.6)","(0, 2014, 105.5, 203.0)","(0, 2017, 110.3, 294.8)","(8, 2012, 113.6, 318.2)","(58, 2014, 91.1, 393.5)","(25, -1, 62.8, 379.0)","(104, -1, 94.7, 200.7)","(0, -1, 90.3, 153.2)","(0, -1, 100.4, 275.4)","(8, -1, 118.4, 284.7)","(58, -1, 85.4, 398.9)"
377,"(4, 2017, 105.0, 289.1)","(40, 2012, 82.5, 292.9)","(40, 2014, 83.1, 358.7)","(8, 2015, 88.3, 342.6)","(19, 2015, 125.4, 356.3)","(19, 2013, 76.4, 248.1)","(4, -1, 115.6, 268.3)","(40, -1, 82.1, 319.8)","(40, -1, 73.0, 351.0)","(8, -1, 80.5, 337.2)","(19, -1, 136.8, 318.2)","(19, -1, 56.9, 264.2)"
378,"(19, 2015, 63.4, 308.6)","(104, 2015, 125.3, 307.8)","(40, 2012, 86.6, 313.8)","(40, 2013, 159.5, 359.5)","(4, 2015, 80.6, 278.8)","(104, 2015, 93.8, 246.1)","(19, -1, 77.1, 309.8)","(104, -1, 119.5, 306.1)","(40, -1, 78.0, 351.0)","(40, -1, 189.3, 327.9)","(4, -1, 77.2, 277.2)","(104, -1, 102.9, 251.1)"
379,"(102, 2016, 56.6, 297.6)","(102, 2015, 98.8, 235.6)","(4, 2016, 109.6, 201.4)","(0, 2014, 118.4, 200.3)","(25, 2014, 119.4, 281.5)","(58, 2015, 96.2, 285.7)","(102, -1, 53.7, 310.7)","(102, -1, 116.9, 217.9)","(4, -1, 107.3, 182.4)","(0, -1, 114.5, 215.8)","(25, -1, 110.9, 273.9)","(58, -1, 76.6, 265.7)"
380,"(0, 2013, 131.2, 243.3)","(19, 2015, 105.6, 319.2)","(19, 2014, 115.4, 289.5)","(25, 2016, 103.2, 286.3)","(4, 2016, 102.4, 398.0)","(0, 2017, 96.4, 395.5)","(0, -1, 124.6, 207.1)","(19, -1, 112.7, 280.9)","(19, -1, 129.5, 317.9)","(25, -1, 92.6, 296.7)","(4, -1, 105.4, 446.7)","(0, -1, 90.7, 398.7)"
381,"(25, 2014, 115.3, 348.6)","(58, 2015, 120.9, 242.3)","(104, 2014, 119.4, 369.5)","(8, 2014, 104.4, 322.3)","(4, 2016, 104.3, 357.6)","(8, 2016, 91.9, 316.6)","(25, -1, 123.9, 335.6)","(58, -1, 141.1, 232.9)","(104, -1, 129.4, 360.9)","(8, -1, 122.3, 325.2)","(4, -1, 87.1, 302.6)","(8, -1, 76.1, 321.8)"
382,"(4, 2014, 113.7, 286.4)","(0, 2016, 61.4, 283.3)","(4, 2015, 62.2, 392.6)","(58, 2015, 91.5, 383.5)","(25, 2012, 127.5, 399.7)","(25, 2014, 120.6, 338.1)","(4, -1, 132.8, 253.5)","(0, -1, 65.3, 272.7)","(4, -1, 54.5, 389.5)","(58, -1, 93.4, 381.8)","(25, -1, 149.7, 335.4)","(25, -1, 123.4, 372.6)"
383,"(40, 2013, 94.3, 339.6)","(19, 2017, 89.2, 387.7)","(58, 2015, 98.3, 248.8)","(0, 2017, 120.0, 284.5)","(8, 2016, 135.7, 227.9)","(0, 2014, 110.9, 200.1)","(40, -1, 101.5, 345.5)","(19, -1, 86.2, 382.9)","(58, -1, 96.2, 239.7)","(0, -1, 120.1, 300.0)","(8, -1, 155.1, 224.1)","(0, -1, 111.1, 200.6)"
384,"(102, 2013, 63.9, 234.8)","(102, 2013, 104.0, 312.0)","(4, 2013, 108.1, 386.3)","(25, 2013, 103.5, 209.5)","(104, 2015, 103.4, 372.9)","(0, 2012, 89.4, 222.5)","(102, -1, 61.1, 204.2)","(102, -1, 106.8, 323.7)","(4, -1, 96.5, 399.9)","(25, -1, 89.6, 233.6)","(104, -1, 101.6, 380.9)","(0, -1, 78.3, 197.4)"
385,"(19, 2016, 72.9, 246.1)","(25, 2015, 145.1, 260.1)","(58, 2012, 65.8, 336.3)","(4, 2015, 139.4, 290.4)","(19, 2016, 99.7, 283.3)","(19, 2015, 108.0, 361.0)","(19, -1, 66.4, 238.3)","(25, -1, 144.7, 236.0)","(58, -1, 74.7, 338.0)","(4, -1, 135.5, 318.5)","(19, -1, 109.9, 310.7)","(19, -1, 109.3, 377.5)"
386,"(8, 2016, 121.1, 373.1)","(25, 2014, 129.1, 379.3)","(25, 2015, 82.1, 361.7)","(25, 2014, 109.8, 394.4)","(40, 2015, 92.0, 225.6)","(104, 2014, 56.9, 399.6)","(8, -1, 116.5, 372.5)","(25, -1, 126.3, 344.4)","(25, -1, 85.4, 364.1)","(25, -1, 113.3, 362.2)","(40, -1, 95.4, 214.8)","(104, -1, 36.7, 416.3)"
