Scenario no.,SB0,SB1,SB2,SB3,SB4,BM0,BM1,BM2,BM3,BM4
292,"(40, 2012, 94.6, 306.5)","(25, 2017, 143.7, 357.4)","(19, 2017, 86.9, 261.6)","(40, 2014, 72.6, 234.9)","(102, 2016, 84.5, 340.1)","(40, -1, 98.1, 287.5)","(25, -1, 138.7, 386.1)","(19, -1, 97.0, 290.0)","(40, -1, 70.6, 245.1)","(102, -1, 87.3, 340.7)"
293,"(58, 2015, 103.3, 263.4)","(58, 2016, 149.6, 208.7)","(19, 2015, 80.0, 390.0)","(19, 2014, 94.9, 387.0)","(8, 2016, 124.7, 268.1)","(58, -1, 107.8, 260.1)","(58, -1, 162.0, 185.1)","(19, -1, 78.5, 384.7)","(19, -1, 90.3, 381.8)","(8, -1, 119.3, 239.5)"
294,"(102, 2012, 55.7, 247.8)","(19, 2013, 58.9, 225.7)","(40, 2015, 102.9, 374.2)","(104, 2016, 114.2, 288.5)","(19, 2015, 78.5, 289.1)","(102, -1, 57.3, 214.9)","(19, -1, 56.9, 242.9)","(40, -1, 101.7, 392.8)","(104, -1, 128.1, 327.3)","(19, -1, 83.8, 309.8)"
295,"(104, 2017, 63.1, 378.7)","(40, 2013, 72.4, 226.0)","(0, 2014, 86.9, 272.9)","(102, 2014, 175.7, 254.8)","(0, 2012, 129.1, 293.6)","(104, -1, 56.9, 388.1)","(40, -1, 75.1, 205.5)","(0, -1, 95.6, 259.5)","(102, -1, 160.5, 231.1)","(0, -1, 123.5, 273.8)"
296,"(4, 2012, 92.7, 376.7)","(58, 2014, 77.3, 381.5)","(58, 2015, 64.1, 279.3)","(25, 2017, 147.6, 339.3)","(40, 2015, 80.4, 347.9)","(4, -1, 110.7, 350.3)","(58, -1, 72.3, 341.6)","(58, -1, 58.3, 292.5)","(25, -1, 149.3, 345.9)","(40, -1, 81.1, 346.6)"
297,"(102, 2015, 82.2, 374.5)","(58, 2015, 118.1, 205.5)","(0, 2013, 89.6, 237.2)","(4, 2014, 97.5, 328.3)","(58, 2016, 117.1, 374.8)","(102, -1, 78.9, 372.2)","(58, -1, 129.2, 213.1)","(0, -1, 102.3, 241.7)","(4, -1, 105.3, 368.3)","(58, -1, 117.8, 407.5)"
298,"(58, 2014, 88.8, 245.0)","(25, 2012, 123.6, 362.8)","(8, 2017, 91.5, 201.7)","(8, 2015, 116.6, 205.1)","(25, 2017, 122.8, 306.2)","(58, -1, 83.3, 238.1)","(25, -1, 125.0, 317.1)","(8, -1, 80.6, 194.1)","(8, -1, 119.6, 202.1)","(25, -1, 120.0, 290.1)"
299,"(25, 2017, 89.9, 257.5)","(19, 2014, 134.3, 304.6)","(4, 2015, 89.1, 337.1)","(0, 2017, 72.8, 387.3)","(58, 2015, 118.1, 267.2)","(25, -1, 79.9, 309.9)","(19, -1, 129.8, 333.1)","(4, -1, 89.3, 326.8)","(0, -1, 71.8, 388.5)","(58, -1, 117.0, 269.0)"
300,"(58, 2013, 92.5, 381.1)","(0, 2013, 81.3, 366.2)","(104, 2015, 61.5, 365.4)","(40, 2014, 88.3, 396.1)","(8, 2017, 69.4, 347.0)","(58, -1, 92.7, 346.5)","(0, -1, 77.6, 351.5)","(104, -1, 74.9, 356.0)","(40, -1, 96.3, 439.0)","(8, -1, 72.2, 388.5)"
301,"(104, 2016, 75.6, 214.7)","(25, 2013, 66.8, 214.8)","(25, 2016, 84.2, 261.7)","(0, 2016, 56.2, 371.4)","(8, 2015, 101.8, 353.4)","(104, -1, 82.2, 231.5)","(25, -1, 69.6, 190.2)","(25, -1, 87.7, 232.2)","(0, -1, 49.4, 370.4)","(8, -1, 94.0, 429.1)"
302,"(40, 2013, 63.7, 301.9)","(102, 2015, 116.8, 200.9)","(102, 2013, 111.7, 234.2)","(4, 2012, 139.9, 204.6)","(19, 2014, 147.2, 337.8)","(40, -1, 54.4, 291.3)","(102, -1, 106.9, 199.1)","(102, -1, 98.2, 228.5)","(4, -1, 153.0, 217.5)","(19, -1, 137.0, 343.7)"
303,"(8, 2017, 116.4, 286.9)","(0, 2012, 120.3, 207.5)","(19, 2017, 102.3, 343.5)","(8, 2014, 96.4, 336.6)","(8, 2014, 83.6, 293.3)","(8, -1, 130.6, 327.4)","(0, -1, 115.0, 184.4)","(19, -1, 86.0, 381.9)","(8, -1, 115.3, 321.2)","(8, -1, 96.5, 303.1)"
304,"(8, 2014, 127.6, 232.8)","(19, 2013, 159.1, 349.0)","(40, 2013, 35.7, 348.6)","(4, 2014, 109.8, 201.8)","(102, 2012, 147.9, 369.3)","(8, -1, 124.5, 259.3)","(19, -1, 172.6, 379.5)","(40, -1, 33.6, 360.8)","(4, -1, 110.9, 211.6)","(102, -1, 162.9, 388.6)"
305,"(40, 2016, 62.2, 256.9)","(19, 2017, 137.9, 378.4)","(19, 2014, 99.3, 266.5)","(0, 2016, 116.3, 384.4)","(58, 2017, 38.9, 230.7)","(40, -1, 66.0, 255.2)","(19, -1, 143.3, 380.3)","(19, -1, 103.2, 263.9)","(0, -1, 152.5, 442.7)","(58, -1, 38.2, 225.9)"
306,"(19, 2012, 93.4, 317.6)","(58, 2016, 65.9, 365.2)","(40, 2013, 107.4, 299.2)","(4, 2012, 68.6, 336.1)","(19, 2013, 78.1, 262.9)","(19, -1, 93.8, 337.0)","(58, -1, 71.8, 375.5)","(40, -1, 122.1, 280.3)","(4, -1, 63.3, 372.8)","(19, -1, 80.8, 254.1)"
307,"(19, 2016, 97.9, 220.8)","(102, 2015, 121.6, 219.8)","(104, 2012, 77.3, 205.4)","(25, 2017, 86.0, 378.9)","(102, 2015, 120.4, 329.2)","(19, -1, 97.7, 248.7)","(102, -1, 131.3, 233.6)","(104, -1, 80.5, 175.1)","(25, -1, 83.0, 329.3)","(102, -1, 127.8, 324.2)"
308,"(104, 2014, 72.9, 297.1)","(25, 2015, 99.1, 250.3)","(4, 2013, 89.7, 332.9)","(40, 2013, 108.8, 330.6)","(0, 2016, 134.3, 251.7)","(104, -1, 73.7, 305.2)","(25, -1, 100.4, 276.2)","(4, -1, 89.5, 343.9)","(40, -1, 115.1, 342.9)","(0, -1, 145.8, 253.6)"
309,"(19, 2016, 132.6, 202.9)","(58, 2014, 90.3, 283.6)","(19, 2013, 61.0, 294.9)","(0, 2012, 96.0, 259.5)","(19, 2017, 80.8, 222.5)","(19, -1, 135.2, 221.1)","(58, -1, 97.1, 266.9)","(19, -1, 49.7, 263.6)","(0, -1, 76.4, 261.4)","(19, -1, 79.4, 224.0)"
310,"(58, 2017, 65.9, 208.1)","(40, 2014, 105.8, 369.4)","(4, 2015, 109.0, 246.9)","(102, 2012, 134.7, 204.2)","(19, 2014, 117.7, 226.8)","(58, -1, 58.6, 210.2)","(40, -1, 95.4, 383.4)","(4, -1, 108.4, 264.0)","(102, -1, 131.9, 209.8)","(19, -1, 121.2, 214.6)"
311,"(25, 2015, 108.0, 288.4)","(102, 2012, 75.6, 396.6)","(0, 2016, 115.7, 373.6)","(19, 2013, 156.3, 377.3)","(40, 2015, 100.7, 355.0)","(25, -1, 107.3, 265.3)","(102, -1, 78.3, 388.4)","(0, -1, 106.2, 390.7)","(19, -1, 158.9, 358.1)","(40, -1, 71.1, 334.0)"
312,"(58, 2013, 119.1, 228.5)","(58, 2015, 113.7, 369.4)","(102, 2013, 99.3, 248.9)","(25, 2017, 64.3, 233.6)","(102, 2015, 92.9, 283.8)","(58, -1, 108.5, 230.2)","(58, -1, 105.4, 396.3)","(102, -1, 101.2, 266.5)","(25, -1, 64.0, 205.4)","(102, -1, 95.3, 289.8)"
313,"(8, 2013, 93.9, 381.3)","(0, 2017, 94.9, 272.0)","(4, 2016, 104.0, 344.4)","(58, 2013, 112.8, 245.9)","(40, 2017, 63.8, 343.5)","(8, -1, 101.0, 406.4)","(0, -1, 96.2, 302.3)","(4, -1, 105.1, 325.0)","(58, -1, 110.1, 263.6)","(40, -1, 75.4, 363.6)"
314,"(25, 2015, 98.0, 357.1)","(104, 2017, 79.7, 355.2)","(102, 2017, 117.9, 324.0)","(104, 2013, 107.1, 388.1)","(58, 2013, 95.9, 274.0)","(25, -1, 94.6, 347.9)","(104, -1, 74.7, 390.0)","(102, -1, 111.6, 346.0)","(104, -1, 96.2, 372.8)","(58, -1, 91.0, 297.4)"
315,"(4, 2014, 86.9, 390.7)","(25, 2015, 104.0, 214.5)","(104, 2017, 105.9, 391.3)","(40, 2013, 86.3, 216.0)","(4, 2015, 116.6, 335.4)","(4, -1, 99.3, 338.9)","(25, -1, 122.9, 200.2)","(104, -1, 100.4, 456.3)","(40, -1, 93.8, 215.0)","(4, -1, 116.5, 303.8)"
316,"(58, 2014, 121.0, 332.4)","(8, 2015, 142.3, 329.6)","(102, 2015, 67.4, 326.6)","(40, 2015, 134.4, 288.4)","(102, 2012, 124.6, 353.6)","(58, -1, 128.1, 330.4)","(8, -1, 128.1, 307.4)","(102, -1, 65.6, 331.2)","(40, -1, 143.6, 251.6)","(102, -1, 103.1, 375.6)"
317,"(58, 2013, 95.5, 340.7)","(58, 2012, 130.9, 342.5)","(19, 2013, 72.9, 345.2)","(19, 2013, 42.6, 347.2)","(25, 2014, 80.5, 219.6)","(58, -1, 94.9, 371.6)","(58, -1, 126.1, 347.1)","(19, -1, 73.7, 336.8)","(19, -1, 50.5, 388.1)","(25, -1, 77.4, 231.6)"
318,"(25, 2012, 42.3, 340.8)","(4, 2012, 146.7, 323.7)","(19, 2016, 126.5, 228.0)","(40, 2014, 118.0, 350.2)","(4, 2017, 69.4, 352.1)","(25, -1, 41.6, 328.9)","(4, -1, 140.3, 305.1)","(19, -1, 110.0, 252.0)","(40, -1, 129.9, 385.9)","(4, -1, 57.9, 345.2)"
319,"(102, 2013, 148.0, 382.6)","(40, 2013, 124.3, 272.5)","(25, 2016, 120.8, 260.4)","(8, 2013, 93.1, 332.8)","(0, 2012, 123.5, 236.1)","(102, -1, 138.7, 412.0)","(40, -1, 110.7, 264.9)","(25, -1, 118.1, 271.6)","(8, -1, 99.5, 335.9)","(0, -1, 106.2, 203.4)"
320,"(104, 2017, 85.0, 398.8)","(102, 2016, 83.8, 395.9)","(4, 2016, 110.5, 343.3)","(4, 2013, 152.7, 231.0)","(4, 2013, 95.7, 236.3)","(104, -1, 70.5, 374.8)","(102, -1, 76.1, 453.7)","(4, -1, 106.4, 335.2)","(4, -1, 157.0, 195.7)","(4, -1, 96.6, 229.7)"
321,"(102, 2016, 102.5, 383.3)","(25, 2017, 138.8, 289.5)","(104, 2012, 76.0, 222.0)","(58, 2013, 82.1, 272.5)","(4, 2013, 134.8, 356.6)","(102, -1, 107.7, 378.6)","(25, -1, 136.0, 267.2)","(104, -1, 73.9, 194.0)","(58, -1, 89.1, 262.6)","(4, -1, 128.3, 279.6)"
322,"(8, 2016, 81.4, 353.6)","(104, 2014, 140.8, 377.1)","(25, 2017, 63.4, 377.0)","(102, 2012, 136.2, 300.4)","(104, 2013, 115.6, 337.9)","(8, -1, 71.3, 387.9)","(104, -1, 139.9, 367.5)","(25, -1, 67.5, 408.2)","(102, -1, 118.5, 297.5)","(104, -1, 138.3, 311.6)"
323,"(104, 2017, 105.9, 223.9)","(19, 2013, 66.6, 373.1)","(8, 2014, 100.0, 271.1)","(40, 2013, 86.7, 202.5)","(58, 2015, 115.5, 245.8)","(104, -1, 106.3, 225.3)","(19, -1, 72.0, 387.4)","(8, -1, 88.2, 280.0)","(40, -1, 87.8, 232.9)","(58, -1, 106.7, 239.4)"
324,"(25, 2017, 76.9, 247.1)","(40, 2016, 129.7, 234.7)","(102, 2013, 100.1, 316.2)","(0, 2017, 107.1, 352.4)","(19, 2015, 94.8, 359.1)","(25, -1, 79.9, 244.5)","(40, -1, 124.9, 244.2)","(102, -1, 105.7, 345.9)","(0, -1, 103.6, 413.2)","(19, -1, 87.1, 324.5)"
325,"(40, 2013, 88.4, 374.3)","(40, 2016, 111.7, 234.3)","(102, 2015, 53.3, 253.1)","(104, 2015, 113.2, 380.6)","(0, 2016, 97.5, 296.8)","(40, -1, 93.6, 418.0)","(40, -1, 119.0, 236.7)","(102, -1, 58.8, 268.3)","(104, -1, 121.8, 334.4)","(0, -1, 93.1, 261.0)"
326,"(8, 2014, 97.9, 274.2)","(58, 2014, 104.1, 368.6)","(40, 2016, 123.0, 213.0)","(4, 2013, 65.0, 367.6)","(40, 2012, 61.0, 367.7)","(8, -1, 108.7, 273.3)","(58, -1, 101.8, 355.7)","(40, -1, 120.7, 184.7)","(4, -1, 76.2, 391.4)","(40, -1, 60.4, 373.6)"
327,"(4, 2013, 73.4, 250.2)","(8, 2015, 69.2, 278.5)","(19, 2012, 117.9, 216.3)","(0, 2015, 83.8, 284.6)","(19, 2015, 76.1, 308.6)","(4, -1, 71.0, 251.6)","(8, -1, 64.5, 286.3)","(19, -1, 123.0, 210.0)","(0, -1, 83.4, 267.2)","(19, -1, 81.8, 278.0)"
328,"(0, 2016, 69.1, 233.2)","(4, 2017, 109.5, 249.1)","(8, 2014, 101.7, 269.8)","(8, 2014, 77.7, 317.2)","(19, 2014, 63.7, 200.1)","(0, -1, 64.5, 266.7)","(4, -1, 104.0, 248.8)","(8, -1, 106.5, 267.0)","(8, -1, 79.1, 335.5)","(19, -1, 68.5, 211.2)"
329,"(25, 2014, 116.6, 392.0)","(40, 2012, 81.6, 357.8)","(104, 2014, 139.3, 383.2)","(40, 2016, 83.5, 235.4)","(4, 2013, 38.4, 342.6)","(25, -1, 120.5, 442.6)","(40, -1, 84.2, 374.5)","(104, -1, 123.9, 416.0)","(40, -1, 88.2, 238.9)","(4, -1, 33.2, 366.1)"
330,"(58, 2015, 87.6, 367.6)","(4, 2013, 88.3, 228.3)","(58, 2012, 78.5, 350.4)","(4, 2016, 128.8, 320.9)","(40, 2015, 103.5, 286.4)","(58, -1, 86.9, 390.7)","(4, -1, 87.5, 239.1)","(58, -1, 81.8, 333.5)","(4, -1, 139.4, 331.5)","(40, -1, 107.5, 260.5)"
331,"(58, 2012, 136.4, 250.7)","(8, 2017, 63.9, 261.4)","(8, 2016, 111.2, 254.8)","(8, 2015, 68.6, 371.4)","(104, 2014, 79.6, 262.1)","(58, -1, 136.2, 219.7)","(8, -1, 66.8, 234.8)","(8, -1, 109.2, 283.3)","(8, -1, 72.7, 404.3)","(104, -1, 92.6, 240.8)"
332,"(58, 2015, 89.1, 266.3)","(19, 2012, 127.4, 239.1)","(25, 2012, 130.9, 274.1)","(4, 2017, 94.2, 297.7)","(58, 2015, 98.3, 217.8)","(58, -1, 78.3, 255.9)","(19, -1, 140.6, 225.7)","(25, -1, 136.9, 274.0)","(4, -1, 86.6, 301.9)","(58, -1, 93.5, 202.5)"
333,"(58, 2016, 104.1, 296.9)","(104, 2016, 123.6, 323.5)","(104, 2014, 108.4, 269.5)","(104, 2012, 128.3, 302.7)","(40, 2014, 49.5, 348.2)","(58, -1, 97.7, 305.3)","(104, -1, 127.2, 296.6)","(104, -1, 114.1, 255.4)","(104, -1, 133.2, 302.5)","(40, -1, 49.1, 368.2)"
334,"(8, 2014, 27.7, 258.0)","(8, 2016, 88.1, 331.5)","(40, 2017, 161.3, 304.6)","(40, 2014, 145.0, 350.9)","(25, 2013, 118.0, 239.0)","(8, -1, 25.8, 254.4)","(8, -1, 86.6, 356.8)","(40, -1, 142.1, 310.2)","(40, -1, 135.5, 364.4)","(25, -1, 127.3, 248.6)"
335,"(4, 2014, 125.6, 383.1)","(4, 2014, 107.1, 215.7)","(104, 2017, 110.4, 369.3)","(104, 2012, 121.9, 338.8)","(19, 2015, 111.7, 309.8)","(4, -1, 124.6, 438.4)","(4, -1, 92.0, 216.5)","(104, -1, 116.4, 368.0)","(104, -1, 126.5, 365.2)","(19, -1, 111.0, 329.2)"
336,"(0, 2014, 144.8, 289.3)","(8, 2014, 97.0, 252.2)","(19, 2015, 39.2, 207.0)","(58, 2012, 112.1, 204.9)","(25, 2017, 93.6, 393.1)","(0, -1, 155.0, 310.8)","(8, -1, 97.1, 258.1)","(19, -1, 40.1, 211.9)","(58, -1, 118.2, 198.2)","(25, -1, 81.4, 395.8)"
337,"(102, 2017, 97.1, 299.4)","(40, 2017, 87.6, 372.2)","(40, 2012, 78.4, 279.5)","(19, 2017, 150.8, 389.6)","(104, 2013, 71.2, 314.8)","(102, -1, 109.0, 283.1)","(40, -1, 86.4, 412.9)","(40, -1, 75.5, 285.8)","(19, -1, 147.5, 373.8)","(104, -1, 80.4, 272.8)"
338,"(102, 2016, 110.5, 292.4)","(4, 2012, 77.4, 207.9)","(102, 2012, 110.3, 230.4)","(40, 2013, 80.7, 318.7)","(25, 2015, 98.4, 251.3)","(102, -1, 113.5, 259.8)","(4, -1, 89.2, 193.0)","(102, -1, 118.8, 252.8)","(40, -1, 76.8, 346.8)","(25, -1, 108.6, 252.4)"
339,"(0, 2017, 102.4, 204.2)","(40, 2012, 73.6, 336.1)","(102, 2012, 84.0, 231.6)","(104, 2014, 97.1, 304.6)","(4, 2016, 94.2, 295.8)","(0, -1, 96.5, 204.2)","(40, -1, 77.2, 350.1)","(102, -1, 80.3, 253.2)","(104, -1, 92.1, 320.3)","(4, -1, 92.9, 316.5)"
340,"(58, 2015, 57.0, 226.5)","(58, 2014, 100.8, 308.6)","(0, 2016, 66.9, 338.0)","(8, 2015, 110.6, 351.8)","(104, 2017, 126.4, 359.8)","(58, -1, 64.1, 216.5)","(58, -1, 90.7, 311.0)","(0, -1, 64.2, 309.7)","(8, -1, 101.9, 368.2)","(104, -1, 118.7, 388.7)"
341,"(58, 2016, 108.1, 206.6)","(58, 2015, 85.5, 257.6)","(19, 2012, 39.7, 363.6)","(25, 2015, 97.9, 216.2)","(25, 2017, 108.7, 259.4)","(58, -1, 113.7, 203.4)","(58, -1, 93.3, 257.0)","(19, -1, 44.5, 343.3)","(25, -1, 79.4, 213.4)","(25, -1, 112.3, 272.3)"
342,"(25, 2013, 60.5, 363.5)","(4, 2017, 122.4, 239.7)","(25, 2017, 89.7, 344.8)","(19, 2014, 133.4, 268.9)","(104, 2013, 103.1, 222.3)","(25, -1, 59.5, 356.8)","(4, -1, 126.6, 224.6)","(25, -1, 83.6, 315.2)","(19, -1, 131.3, 283.1)","(104, -1, 106.8, 241.5)"
343,"(8, 2017, 129.9, 291.3)","(4, 2016, 93.7, 273.9)","(102, 2017, 85.5, 398.5)","(104, 2016, 118.5, 262.8)","(19, 2013, 68.2, 202.6)","(8, -1, 123.2, 288.2)","(4, -1, 92.6, 272.1)","(102, -1, 88.6, 405.0)","(104, -1, 134.0, 270.4)","(19, -1, 65.8, 210.6)"
344,"(19, 2015, 98.8, 348.5)","(0, 2014, 123.7, 309.0)","(102, 2017, 64.7, 232.9)","(102, 2012, 66.6, 375.2)","(40, 2014, 102.1, 298.3)","(19, -1, 93.6, 370.3)","(0, -1, 100.7, 307.6)","(102, -1, 60.6, 214.3)","(102, -1, 74.2, 406.5)","(40, -1, 106.4, 291.9)"
345,"(19, 2014, 105.7, 217.2)","(102, 2015, 139.6, 215.8)","(104, 2017, 75.2, 244.7)","(40, 2016, 79.2, 220.4)","(40, 2015, 66.9, 246.5)","(19, -1, 105.6, 203.1)","(102, -1, 154.5, 230.2)","(104, -1, 63.1, 255.4)","(40, -1, 85.0, 198.7)","(40, -1, 84.2, 278.1)"
346,"(4, 2015, 72.8, 295.7)","(102, 2012, 121.4, 311.1)","(58, 2016, 83.0, 200.5)","(4, 2017, 87.1, 395.6)","(104, 2016, 67.1, 303.7)","(4, -1, 75.3, 285.4)","(102, -1, 97.8, 309.1)","(58, -1, 79.8, 184.3)","(4, -1, 92.0, 352.1)","(104, -1, 74.1, 297.9)"
347,"(4, 2012, 49.3, 288.8)","(8, 2014, 100.1, 244.9)","(0, 2016, 85.2, 329.9)","(8, 2013, 93.2, 356.7)","(25, 2013, 87.6, 307.2)","(4, -1, 54.7, 255.8)","(8, -1, 92.4, 242.3)","(0, -1, 96.7, 300.3)","(8, -1, 88.0, 319.1)","(25, -1, 93.6, 291.7)"
348,"(25, 2013, 62.4, 250.3)","(104, 2014, 110.2, 279.3)","(25, 2013, 117.1, 249.9)","(102, 2012, 96.0, 279.9)","(40, 2016, 97.6, 202.8)","(25, -1, 75.7, 287.8)","(104, -1, 127.4, 295.9)","(25, -1, 120.8, 272.5)","(102, -1, 90.0, 279.6)","(40, -1, 107.8, 220.6)"
349,"(8, 2012, 82.9, 331.2)","(19, 2016, 127.1, 307.7)","(0, 2012, 145.6, 268.9)","(102, 2012, 90.9, 385.7)","(58, 2015, 103.2, 333.0)","(8, -1, 86.6, 372.1)","(19, -1, 119.9, 310.2)","(0, -1, 119.8, 291.0)","(102, -1, 77.2, 368.3)","(58, -1, 97.7, 306.5)"
350,"(104, 2017, 77.1, 202.1)","(4, 2014, 145.6, 379.1)","(102, 2012, 77.6, 247.4)","(58, 2014, 161.9, 397.6)","(104, 2014, 41.7, 316.4)","(104, -1, 55.9, 218.4)","(4, -1, 145.6, 417.8)","(102, -1, 75.4, 254.5)","(58, -1, 172.6, 417.0)","(104, -1, 41.9, 354.4)"
351,"(25, 2017, 135.8, 263.4)","(19, 2015, 79.2, 244.4)","(40, 2012, 96.6, 366.6)","(8, 2012, 139.9, 358.7)","(0, 2017, 107.4, 216.5)","(25, -1, 135.4, 247.2)","(19, -1, 78.8, 252.7)","(40, -1, 89.8, 379.0)","(8, -1, 135.9, 336.5)","(0, -1, 114.9, 207.8)"
352,"(4, 2013, 70.3, 228.3)","(25, 2017, 117.5, 274.2)","(0, 2014, 113.0, 354.3)","(40, 2015, 89.4, 297.0)","(104, 2014, 80.4, 294.8)","(4, -1, 67.5, 242.8)","(25, -1, 108.5, 286.5)","(0, -1, 114.0, 355.1)","(40, -1, 93.3, 331.5)","(104, -1, 82.3, 317.4)"
353,"(19, 2012, 94.3, 305.2)","(4, 2013, 69.5, 200.2)","(40, 2012, 35.3, 281.9)","(0, 2016, 128.3, 225.7)","(104, 2013, 92.7, 373.2)","(19, -1, 100.0, 359.1)","(4, -1, 64.4, 178.9)","(40, -1, 41.1, 265.9)","(0, -1, 99.7, 240.3)","(104, -1, 90.4, 383.9)"
354,"(4, 2015, 141.9, 293.2)","(58, 2015, 98.1, 275.0)","(102, 2014, 77.1, 280.1)","(4, 2014, 118.6, 318.7)","(25, 2013, 84.9, 378.6)","(4, -1, 149.3, 275.4)","(58, -1, 102.2, 269.7)","(102, -1, 70.7, 273.4)","(4, -1, 102.0, 280.7)","(25, -1, 81.6, 380.3)"
355,"(104, 2012, 102.9, 299.9)","(58, 2013, 74.1, 328.1)","(102, 2016, 99.9, 364.4)","(40, 2017, 101.1, 218.5)","(102, 2013, 102.8, 246.1)","(104, -1, 90.9, 251.9)","(58, -1, 63.3, 325.1)","(102, -1, 102.2, 393.0)","(40, -1, 87.8, 217.4)","(102, -1, 108.0, 240.8)"
356,"(104, 2017, 132.9, 384.7)","(40, 2013, 76.9, 224.9)","(4, 2017, 148.6, 260.8)","(25, 2016, 118.0, 236.7)","(102, 2012, 98.0, 214.7)","(104, -1, 118.5, 385.5)","(40, -1, 74.9, 204.5)","(4, -1, 151.5, 259.8)","(25, -1, 129.5, 222.9)","(102, -1, 106.7, 215.6)"
357,"(104, 2016, 74.3, 356.2)","(102, 2013, 87.1, 201.1)","(102, 2014, 132.0, 342.7)","(0, 2015, 102.8, 264.0)","(58, 2012, 113.0, 218.5)","(104, -1, 74.8, 391.1)","(102, -1, 84.3, 181.5)","(102, -1, 140.6, 360.0)","(0, -1, 94.9, 252.4)","(58, -1, 121.5, 265.7)"
358,"(19, 2012, 102.6, 350.5)","(102, 2016, 116.4, 284.6)","(8, 2014, 83.0, 318.2)","(58, 2013, 79.3, 287.3)","(19, 2014, 130.3, 201.8)","(19, -1, 107.7, 331.5)","(102, -1, 117.0, 269.3)","(8, -1, 82.1, 321.6)","(58, -1, 74.1, 274.3)","(19, -1, 127.7, 188.2)"
359,"(40, 2016, 107.4, 339.4)","(104, 2012, 105.1, 325.9)","(40, 2013, 65.6, 201.2)","(0, 2016, 126.0, 357.4)","(58, 2015, 88.2, 225.1)","(40, -1, 119.3, 365.7)","(104, -1, 96.6, 362.4)","(40, -1, 64.8, 207.9)","(0, -1, 117.9, 330.3)","(58, -1, 88.3, 231.1)"
360,"(4, 2015, 111.4, 351.2)","(25, 2015, 66.7, 247.1)","(102, 2017, 109.5, 266.8)","(40, 2012, 126.5, 239.2)","(8, 2012, 98.7, 239.4)","(4, -1, 82.4, 366.9)","(25, -1, 57.1, 268.5)","(102, -1, 112.0, 247.7)","(40, -1, 119.0, 226.7)","(8, -1, 120.2, 247.3)"
361,"(58, 2014, 120.1, 385.8)","(25, 2014, 79.8, 256.4)","(102, 2015, 130.4, 277.6)","(19, 2016, 102.4, 344.2)","(58, 2015, 96.1, 242.0)","(58, -1, 119.9, 385.4)","(25, -1, 79.9, 245.0)","(102, -1, 124.9, 272.9)","(19, -1, 104.3, 365.7)","(58, -1, 102.4, 240.7)"
362,"(102, 2013, 85.9, 388.4)","(0, 2013, 53.0, 390.4)","(58, 2015, 77.8, 349.6)","(25, 2016, 72.2, 263.4)","(8, 2014, 103.3, 248.4)","(102, -1, 81.6, 391.1)","(0, -1, 54.1, 341.9)","(58, -1, 84.9, 351.2)","(25, -1, 70.8, 262.4)","(8, -1, 105.4, 252.3)"
363,"(19, 2015, 88.3, 240.8)","(8, 2016, 103.6, 333.7)","(0, 2016, 89.3, 345.4)","(40, 2013, 97.1, 287.5)","(104, 2014, 69.9, 357.1)","(19, -1, 92.8, 261.5)","(8, -1, 118.4, 343.6)","(0, -1, 84.5, 376.4)","(40, -1, 98.1, 271.9)","(104, -1, 66.7, 406.9)"
364,"(4, 2016, 67.0, 263.8)","(0, 2015, 112.7, 389.2)","(40, 2017, 79.3, 383.7)","(8, 2017, 105.6, 385.7)","(4, 2016, 154.9, 246.3)","(4, -1, 59.7, 277.1)","(0, -1, 111.4, 410.6)","(40, -1, 85.1, 415.0)","(8, -1, 99.7, 425.3)","(4, -1, 160.6, 229.4)"
365,"(19, 2015, 125.1, 394.1)","(0, 2016, 97.2, 350.5)","(58, 2013, 77.4, 239.9)","(0, 2014, 164.2, 203.2)","(102, 2016, 101.0, 321.4)","(19, -1, 147.3, 375.6)","(0, -1, 103.4, 378.6)","(58, -1, 83.0, 244.3)","(0, -1, 168.9, 188.4)","(102, -1, 80.9, 312.0)"
366,"(19, 2016, 118.8, 239.2)","(104, 2013, 71.2, 327.1)","(25, 2016, 111.4, 282.3)","(25, 2012, 107.6, 374.8)","(40, 2012, 170.6, 253.6)","(19, -1, 120.9, 259.3)","(104, -1, 75.7, 292.8)","(25, -1, 115.0, 276.7)","(25, -1, 109.2, 422.5)","(40, -1, 201.8, 279.5)"
367,"(4, 2015, 137.2, 223.1)","(58, 2016, 137.9, 360.4)","(104, 2015, 41.9, 353.0)","(58, 2016, 101.8, 262.5)","(4, 2013, 89.6, 322.8)","(4, -1, 120.1, 241.5)","(58, -1, 134.1, 383.4)","(104, -1, 46.4, 270.9)","(58, -1, 105.5, 284.6)","(4, -1, 91.1, 331.2)"
368,"(25, 2014, 108.0, 280.8)","(25, 2014, 95.9, 322.8)","(104, 2015, 95.0, 222.9)","(58, 2012, 126.1, 346.8)","(8, 2017, 104.8, 257.2)","(25, -1, 113.1, 286.9)","(25, -1, 98.9, 344.8)","(104, -1, 83.3, 213.8)","(58, -1, 105.5, 363.9)","(8, -1, 127.2, 291.2)"
