Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11
694,"(8, 2013)","(8, 2017)","(0, 2017)","(4, 2015)","(19, 2014)","(58, 2017)","(40, 2014)","(0, 2016)","(102, 2014)","(0, 2015)","(58, 2014)","(0, 2015)"
695,"(102, 2017)","(19, 2016)","(19, 2015)","(8, 2017)","(8, 2014)","(8, 2015)","(40, 2012)","(19, 2012)","(0, 2017)","(102, 2017)","(58, 2016)","(58, 2013)"
696,"(40, 2016)","(102, 2014)","(40, 2017)","(0, 2016)","(19, 2015)","(102, 2014)","(8, 2016)","(104, 2016)","(4, 2016)","(104, 2015)","(104, 2014)","(40, 2015)"
697,"(25, 2012)","(40, 2013)","(4, 2013)","(4, 2015)","(8, 2015)","(8, 2012)","(58, 2013)","(25, 2017)","(58, 2015)","(0, 2012)","(0, 2016)","(8, 2016)"
698,"(0, 2017)","(19, 2012)","(0, 2015)","(25, 2015)","(40, 2014)","(104, 2017)","(0, 2013)","(102, 2013)","(4, 2013)","(0, 2014)","(0, 2017)","(4, 2014)"
699,"(25, 2012)","(0, 2012)","(40, 2013)","(25, 2014)","(25, 2014)","(8, 2012)","(8, 2012)","(104, 2012)","(58, 2014)","(19, 2014)","(25, 2017)","(102, 2016)"
700,"(40, 2015)","(19, 2014)","(25, 2016)","(58, 2013)","(8, 2013)","(8, 2016)","(104, 2016)","(0, 2013)","(25, 2013)","(104, 2014)","(19, 2014)","(8, 2015)"
701,"(40, 2015)","(102, 2016)","(104, 2014)","(4, 2016)","(40, 2013)","(40, 2014)","(0, 2017)","(58, 2016)","(0, 2016)","(8, 2014)","(8, 2013)","(25, 2017)"
702,"(102, 2016)","(19, 2017)","(0, 2016)","(40, 2015)","(40, 2013)","(102, 2016)","(19, 2012)","(104, 2016)","(104, 2012)","(104, 2014)","(19, 2016)","(0, 2017)"
703,"(102, 2012)","(4, 2016)","(19, 2015)","(4, 2017)","(0, 2017)","(4, 2012)","(0, 2017)","(4, 2015)","(19, 2013)","(0, 2017)","(104, 2016)","(40, 2016)"
704,"(0, 2012)","(8, 2015)","(19, 2017)","(102, 2013)","(19, 2012)","(25, 2017)","(102, 2017)","(40, 2014)","(4, 2016)","(8, 2015)","(25, 2016)","(104, 2014)"
705,"(0, 2013)","(104, 2012)","(25, 2013)","(0, 2016)","(40, 2014)","(25, 2014)","(58, 2012)","(40, 2017)","(0, 2014)","(25, 2015)","(0, 2016)","(8, 2013)"
706,"(102, 2014)","(19, 2017)","(25, 2012)","(19, 2014)","(104, 2015)","(4, 2013)","(19, 2012)","(58, 2017)","(0, 2017)","(102, 2014)","(25, 2016)","(0, 2016)"
707,"(102, 2017)","(4, 2015)","(40, 2017)","(8, 2014)","(0, 2016)","(40, 2017)","(58, 2014)","(19, 2014)","(8, 2012)","(104, 2016)","(58, 2015)","(40, 2015)"
708,"(58, 2016)","(25, 2014)","(40, 2012)","(0, 2017)","(58, 2014)","(58, 2015)","(40, 2015)","(40, 2013)","(58, 2012)","(4, 2017)","(40, 2013)","(58, 2016)"
709,"(0, 2013)","(4, 2015)","(104, 2017)","(19, 2013)","(25, 2016)","(0, 2016)","(102, 2017)","(104, 2013)","(102, 2014)","(25, 2012)","(25, 2014)","(4, 2013)"
710,"(4, 2015)","(104, 2015)","(104, 2017)","(40, 2016)","(8, 2017)","(102, 2015)","(104, 2013)","(19, 2012)","(4, 2013)","(19, 2017)","(8, 2014)","(102, 2016)"
711,"(102, 2012)","(25, 2016)","(4, 2014)","(102, 2013)","(102, 2014)","(4, 2013)","(4, 2013)","(4, 2015)","(0, 2015)","(58, 2016)","(58, 2013)","(40, 2016)"
712,"(102, 2015)","(102, 2015)","(0, 2016)","(40, 2015)","(0, 2017)","(19, 2013)","(4, 2014)","(4, 2013)","(104, 2013)","(104, 2016)","(25, 2012)","(102, 2015)"
713,"(25, 2015)","(25, 2015)","(25, 2013)","(25, 2014)","(25, 2013)","(104, 2015)","(19, 2016)","(25, 2012)","(104, 2015)","(40, 2014)","(19, 2017)","(40, 2017)"
714,"(25, 2012)","(104, 2012)","(8, 2017)","(40, 2017)","(4, 2016)","(25, 2016)","(104, 2016)","(102, 2016)","(25, 2015)","(102, 2017)","(40, 2017)","(58, 2016)"
715,"(4, 2016)","(102, 2012)","(25, 2014)","(4, 2017)","(19, 2014)","(104, 2015)","(19, 2013)","(25, 2015)","(102, 2014)","(102, 2012)","(102, 2014)","(40, 2013)"
716,"(19, 2012)","(8, 2016)","(4, 2017)","(58, 2015)","(102, 2013)","(104, 2016)","(0, 2015)","(19, 2012)","(58, 2013)","(104, 2017)","(4, 2015)","(102, 2012)"
717,"(58, 2015)","(25, 2017)","(40, 2016)","(0, 2012)","(19, 2013)","(25, 2013)","(0, 2015)","(58, 2012)","(40, 2015)","(25, 2014)","(8, 2015)","(19, 2012)"
718,"(4, 2014)","(102, 2016)","(25, 2016)","(0, 2016)","(25, 2015)","(40, 2017)","(40, 2013)","(58, 2016)","(58, 2013)","(4, 2014)","(19, 2014)","(104, 2014)"
719,"(25, 2016)","(8, 2015)","(19, 2017)","(40, 2017)","(104, 2013)","(25, 2016)","(58, 2015)","(58, 2017)","(0, 2017)","(19, 2017)","(25, 2015)","(8, 2013)"
720,"(102, 2015)","(40, 2016)","(0, 2014)","(40, 2014)","(19, 2017)","(8, 2016)","(104, 2017)","(25, 2013)","(0, 2016)","(40, 2014)","(25, 2017)","(102, 2015)"
721,"(25, 2012)","(19, 2012)","(0, 2015)","(102, 2012)","(58, 2015)","(58, 2013)","(58, 2015)","(104, 2012)","(25, 2013)","(25, 2013)","(58, 2016)","(25, 2014)"
722,"(104, 2016)","(104, 2016)","(0, 2014)","(0, 2017)","(0, 2016)","(104, 2017)","(19, 2014)","(0, 2016)","(8, 2012)","(40, 2016)","(102, 2017)","(104, 2016)"
723,"(102, 2016)","(104, 2013)","(4, 2017)","(58, 2013)","(8, 2013)","(40, 2012)","(4, 2016)","(40, 2016)","(102, 2015)","(40, 2015)","(40, 2017)","(0, 2017)"
724,"(40, 2015)","(58, 2013)","(25, 2015)","(25, 2014)","(19, 2014)","(4, 2014)","(25, 2015)","(0, 2012)","(104, 2016)","(8, 2012)","(40, 2013)","(104, 2012)"
725,"(25, 2015)","(8, 2013)","(19, 2012)","(58, 2012)","(25, 2017)","(0, 2014)","(0, 2017)","(0, 2017)","(58, 2015)","(4, 2017)","(102, 2014)","(25, 2013)"
726,"(58, 2017)","(58, 2015)","(0, 2013)","(40, 2017)","(25, 2017)","(0, 2014)","(0, 2013)","(0, 2017)","(25, 2012)","(102, 2017)","(0, 2016)","(104, 2014)"
727,"(25, 2014)","(25, 2015)","(40, 2016)","(25, 2014)","(102, 2014)","(104, 2015)","(25, 2014)","(8, 2016)","(102, 2016)","(104, 2015)","(58, 2015)","(0, 2013)"
728,"(40, 2013)","(8, 2016)","(40, 2012)","(25, 2015)","(8, 2015)","(58, 2012)","(4, 2013)","(102, 2012)","(102, 2013)","(40, 2014)","(104, 2016)","(4, 2015)"
729,"(58, 2015)","(102, 2014)","(25, 2012)","(104, 2017)","(40, 2017)","(104, 2016)","(0, 2014)","(104, 2015)","(25, 2013)","(25, 2017)","(40, 2014)","(40, 2014)"
730,"(104, 2015)","(58, 2017)","(19, 2015)","(58, 2017)","(8, 2014)","(102, 2012)","(8, 2014)","(104, 2013)","(8, 2012)","(19, 2015)","(102, 2012)","(102, 2017)"
731,"(25, 2013)","(58, 2017)","(8, 2014)","(58, 2013)","(25, 2012)","(0, 2016)","(40, 2013)","(19, 2016)","(4, 2017)","(104, 2016)","(102, 2015)","(0, 2013)"
732,"(8, 2012)","(19, 2015)","(4, 2012)","(8, 2015)","(40, 2013)","(104, 2017)","(8, 2015)","(0, 2016)","(102, 2014)","(58, 2014)","(0, 2017)","(40, 2017)"
733,"(40, 2015)","(58, 2014)","(102, 2015)","(25, 2015)","(0, 2014)","(40, 2016)","(25, 2013)","(4, 2017)","(19, 2017)","(58, 2016)","(102, 2015)","(4, 2013)"
734,"(0, 2017)","(102, 2015)","(58, 2017)","(25, 2016)","(19, 2017)","(4, 2016)","(58, 2013)","(40, 2017)","(19, 2015)","(8, 2012)","(25, 2013)","(25, 2016)"
735,"(58, 2015)","(4, 2014)","(58, 2012)","(102, 2012)","(58, 2012)","(25, 2012)","(19, 2017)","(19, 2013)","(19, 2014)","(19, 2017)","(58, 2017)","(25, 2016)"
736,"(19, 2012)","(19, 2017)","(25, 2017)","(4, 2012)","(40, 2017)","(102, 2017)","(40, 2015)","(104, 2015)","(58, 2013)","(40, 2013)","(58, 2016)","(104, 2015)"
737,"(8, 2016)","(25, 2014)","(8, 2012)","(102, 2014)","(25, 2012)","(104, 2012)","(58, 2015)","(104, 2014)","(40, 2016)","(8, 2014)","(4, 2017)","(104, 2015)"
738,"(25, 2017)","(25, 2016)","(4, 2016)","(40, 2016)","(8, 2013)","(8, 2013)","(40, 2012)","(102, 2013)","(4, 2012)","(8, 2013)","(0, 2014)","(4, 2015)"
739,"(8, 2013)","(40, 2013)","(102, 2016)","(104, 2012)","(4, 2012)","(0, 2016)","(8, 2016)","(102, 2016)","(19, 2013)","(25, 2013)","(0, 2013)","(0, 2016)"
740,"(4, 2016)","(19, 2016)","(8, 2013)","(0, 2014)","(58, 2016)","(104, 2015)","(0, 2014)","(25, 2016)","(104, 2017)","(58, 2014)","(0, 2017)","(104, 2014)"
741,"(8, 2014)","(19, 2015)","(19, 2016)","(58, 2016)","(0, 2012)","(40, 2017)","(4, 2017)","(25, 2016)","(104, 2012)","(4, 2013)","(104, 2013)","(58, 2017)"
742,"(4, 2015)","(8, 2016)","(58, 2012)","(58, 2013)","(8, 2014)","(40, 2012)","(104, 2016)","(8, 2012)","(4, 2012)","(19, 2015)","(58, 2017)","(0, 2013)"
743,"(58, 2015)","(8, 2017)","(19, 2015)","(8, 2016)","(104, 2014)","(102, 2013)","(58, 2014)","(25, 2016)","(8, 2013)","(0, 2017)","(25, 2013)","(25, 2012)"
744,"(8, 2014)","(25, 2013)","(19, 2012)","(58, 2012)","(19, 2016)","(19, 2016)","(102, 2012)","(25, 2013)","(40, 2015)","(102, 2014)","(40, 2016)","(8, 2014)"
745,"(104, 2014)","(8, 2017)","(104, 2012)","(19, 2017)","(19, 2012)","(0, 2017)","(4, 2014)","(104, 2015)","(19, 2016)","(25, 2016)","(104, 2014)","(0, 2017)"
746,"(40, 2013)","(0, 2013)","(4, 2016)","(104, 2014)","(8, 2016)","(104, 2017)","(19, 2014)","(0, 2014)","(0, 2016)","(58, 2014)","(58, 2013)","(8, 2012)"
747,"(102, 2012)","(58, 2014)","(104, 2017)","(19, 2017)","(102, 2013)","(19, 2016)","(4, 2012)","(19, 2015)","(104, 2012)","(102, 2016)","(19, 2016)","(58, 2015)"
748,"(8, 2015)","(40, 2017)","(40, 2012)","(58, 2014)","(4, 2014)","(25, 2014)","(25, 2014)","(102, 2012)","(40, 2014)","(19, 2012)","(4, 2013)","(25, 2016)"
749,"(58, 2017)","(8, 2017)","(58, 2016)","(4, 2014)","(104, 2012)","(4, 2017)","(102, 2012)","(8, 2013)","(25, 2015)","(25, 2016)","(58, 2014)","(104, 2014)"
750,"(0, 2013)","(19, 2013)","(104, 2012)","(8, 2012)","(104, 2017)","(104, 2017)","(19, 2013)","(58, 2017)","(8, 2017)","(104, 2014)","(104, 2012)","(4, 2013)"
751,"(0, 2013)","(19, 2013)","(0, 2015)","(8, 2014)","(8, 2016)","(40, 2012)","(102, 2012)","(8, 2012)","(40, 2014)","(40, 2017)","(8, 2012)","(0, 2014)"
752,"(19, 2017)","(102, 2014)","(8, 2016)","(25, 2014)","(4, 2015)","(19, 2017)","(0, 2013)","(19, 2014)","(19, 2015)","(25, 2015)","(104, 2014)","(25, 2017)"
753,"(102, 2016)","(0, 2015)","(4, 2017)","(102, 2012)","(8, 2015)","(102, 2015)","(40, 2017)","(19, 2017)","(0, 2014)","(4, 2012)","(0, 2013)","(104, 2015)"
754,"(19, 2015)","(104, 2014)","(102, 2016)","(19, 2017)","(25, 2012)","(102, 2014)","(0, 2014)","(25, 2015)","(40, 2013)","(40, 2012)","(0, 2017)","(8, 2014)"
755,"(4, 2015)","(4, 2014)","(19, 2016)","(40, 2017)","(104, 2017)","(25, 2012)","(19, 2014)","(58, 2014)","(40, 2014)","(4, 2015)","(104, 2015)","(19, 2014)"
756,"(25, 2013)","(104, 2015)","(104, 2012)","(40, 2012)","(4, 2014)","(40, 2015)","(8, 2012)","(40, 2012)","(19, 2016)","(58, 2016)","(0, 2013)","(25, 2012)"
757,"(40, 2013)","(102, 2014)","(0, 2017)","(4, 2013)","(8, 2014)","(58, 2012)","(8, 2016)","(0, 2016)","(102, 2014)","(19, 2014)","(0, 2016)","(4, 2017)"
758,"(58, 2014)","(0, 2013)","(25, 2016)","(8, 2014)","(8, 2017)","(58, 2015)","(25, 2016)","(104, 2016)","(19, 2015)","(0, 2015)","(25, 2014)","(25, 2012)"
759,"(8, 2017)","(8, 2012)","(4, 2017)","(40, 2015)","(58, 2016)","(0, 2012)","(104, 2016)","(8, 2015)","(40, 2015)","(104, 2013)","(58, 2012)","(102, 2016)"
760,"(0, 2014)","(58, 2016)","(4, 2012)","(58, 2012)","(40, 2016)","(40, 2013)","(0, 2013)","(4, 2013)","(4, 2012)","(8, 2017)","(58, 2013)","(40, 2016)"
761,"(104, 2016)","(25, 2015)","(0, 2017)","(4, 2016)","(4, 2014)","(58, 2016)","(102, 2016)","(8, 2014)","(4, 2012)","(25, 2014)","(25, 2016)","(8, 2017)"
762,"(104, 2016)","(8, 2012)","(0, 2015)","(0, 2016)","(40, 2012)","(40, 2016)","(104, 2014)","(104, 2016)","(104, 2017)","(104, 2014)","(19, 2014)","(4, 2013)"
763,"(0, 2015)","(40, 2012)","(25, 2017)","(104, 2016)","(0, 2017)","(8, 2014)","(0, 2013)","(19, 2017)","(104, 2014)","(58, 2016)","(102, 2016)","(4, 2015)"
764,"(25, 2014)","(40, 2017)","(102, 2013)","(102, 2015)","(4, 2017)","(19, 2015)","(58, 2013)","(8, 2017)","(19, 2013)","(25, 2016)","(8, 2014)","(25, 2013)"
765,"(58, 2016)","(8, 2015)","(58, 2014)","(0, 2016)","(8, 2013)","(4, 2015)","(25, 2014)","(40, 2017)","(25, 2013)","(104, 2016)","(40, 2014)","(40, 2016)"
766,"(0, 2014)","(40, 2016)","(25, 2016)","(0, 2015)","(8, 2017)","(19, 2017)","(0, 2014)","(58, 2014)","(104, 2012)","(58, 2016)","(40, 2015)","(102, 2017)"
767,"(58, 2014)","(58, 2014)","(102, 2013)","(104, 2016)","(25, 2015)","(0, 2016)","(102, 2013)","(25, 2015)","(58, 2017)","(0, 2014)","(0, 2015)","(4, 2015)"
768,"(102, 2015)","(8, 2012)","(25, 2013)","(8, 2016)","(0, 2017)","(102, 2013)","(8, 2015)","(40, 2012)","(104, 2017)","(19, 2014)","(25, 2017)","(102, 2014)"
769,"(104, 2014)","(25, 2014)","(102, 2017)","(4, 2016)","(4, 2016)","(8, 2016)","(19, 2015)","(40, 2015)","(102, 2012)","(58, 2015)","(25, 2015)","(40, 2012)"
770,"(104, 2017)","(102, 2016)","(58, 2014)","(4, 2014)","(25, 2014)","(25, 2017)","(8, 2017)","(25, 2017)","(4, 2016)","(104, 2013)","(0, 2017)","(4, 2013)"
771,"(4, 2016)","(40, 2012)","(0, 2015)","(40, 2012)","(4, 2015)","(40, 2014)","(104, 2013)","(25, 2013)","(25, 2017)","(40, 2016)","(40, 2015)","(102, 2012)"
772,"(0, 2012)","(0, 2016)","(0, 2013)","(19, 2017)","(58, 2015)","(104, 2013)","(102, 2016)","(104, 2016)","(0, 2016)","(4, 2014)","(0, 2017)","(104, 2016)"
773,"(40, 2017)","(0, 2014)","(19, 2014)","(58, 2015)","(58, 2016)","(19, 2017)","(0, 2012)","(4, 2015)","(4, 2015)","(25, 2012)","(25, 2015)","(0, 2015)"
774,"(4, 2012)","(102, 2015)","(19, 2016)","(19, 2012)","(40, 2016)","(19, 2015)","(104, 2014)","(58, 2014)","(40, 2013)","(25, 2014)","(58, 2015)","(58, 2014)"
775,"(25, 2012)","(40, 2014)","(8, 2012)","(19, 2014)","(102, 2012)","(0, 2017)","(19, 2014)","(0, 2017)","(102, 2013)","(0, 2012)","(19, 2017)","(0, 2016)"
776,"(40, 2016)","(0, 2017)","(58, 2013)","(19, 2017)","(102, 2013)","(40, 2012)","(19, 2015)","(8, 2012)","(102, 2013)","(58, 2014)","(104, 2014)","(19, 2017)"
777,"(40, 2017)","(40, 2015)","(4, 2014)","(104, 2015)","(58, 2017)","(0, 2014)","(25, 2013)","(4, 2015)","(102, 2017)","(58, 2017)","(8, 2012)","(104, 2012)"
778,"(58, 2017)","(102, 2014)","(40, 2012)","(19, 2017)","(4, 2017)","(0, 2017)","(58, 2016)","(40, 2017)","(40, 2014)","(4, 2016)","(40, 2012)","(19, 2016)"
779,"(40, 2017)","(0, 2017)","(8, 2017)","(19, 2012)","(58, 2016)","(102, 2016)","(4, 2014)","(40, 2017)","(4, 2017)","(40, 2015)","(40, 2016)","(25, 2013)"
780,"(4, 2013)","(104, 2014)","(0, 2016)","(0, 2013)","(8, 2017)","(25, 2014)","(0, 2016)","(4, 2012)","(104, 2012)","(19, 2015)","(25, 2013)","(4, 2014)"
781,"(4, 2017)","(4, 2013)","(58, 2017)","(40, 2013)","(104, 2012)","(19, 2016)","(8, 2013)","(58, 2016)","(4, 2016)","(4, 2017)","(102, 2015)","(58, 2015)"
782,"(104, 2012)","(25, 2015)","(4, 2012)","(40, 2014)","(40, 2015)","(104, 2012)","(8, 2016)","(25, 2012)","(104, 2015)","(25, 2015)","(4, 2012)","(102, 2015)"
783,"(102, 2013)","(19, 2017)","(0, 2014)","(40, 2014)","(25, 2012)","(4, 2014)","(8, 2012)","(0, 2012)","(4, 2012)","(0, 2012)","(0, 2013)","(8, 2015)"
784,"(8, 2013)","(104, 2016)","(4, 2015)","(104, 2016)","(25, 2015)","(58, 2016)","(25, 2015)","(58, 2015)","(25, 2012)","(25, 2013)","(8, 2013)","(0, 2013)"
785,"(4, 2013)","(25, 2012)","(25, 2013)","(104, 2016)","(40, 2013)","(8, 2013)","(58, 2016)","(19, 2016)","(8, 2012)","(58, 2017)","(58, 2017)","(8, 2014)"
786,"(19, 2017)","(40, 2012)","(58, 2014)","(58, 2015)","(40, 2012)","(4, 2017)","(40, 2016)","(25, 2017)","(58, 2016)","(8, 2013)","(8, 2015)","(58, 2015)"
787,"(104, 2014)","(40, 2015)","(8, 2017)","(25, 2016)","(102, 2015)","(25, 2015)","(102, 2016)","(25, 2014)","(104, 2017)","(25, 2013)","(104, 2013)","(0, 2013)"
788,"(25, 2015)","(102, 2015)","(104, 2017)","(25, 2016)","(102, 2013)","(0, 2017)","(102, 2014)","(8, 2012)","(58, 2016)","(8, 2013)","(102, 2016)","(19, 2013)"
789,"(8, 2016)","(0, 2013)","(4, 2014)","(58, 2014)","(8, 2013)","(4, 2016)","(0, 2012)","(40, 2012)","(0, 2015)","(4, 2015)","(58, 2016)","(104, 2014)"
790,"(8, 2013)","(104, 2012)","(0, 2013)","(4, 2017)","(25, 2012)","(0, 2014)","(4, 2017)","(4, 2014)","(8, 2017)","(102, 2014)","(8, 2012)","(102, 2015)"
791,"(58, 2015)","(58, 2014)","(104, 2014)","(19, 2014)","(58, 2016)","(4, 2015)","(4, 2012)","(0, 2014)","(102, 2016)","(104, 2013)","(4, 2013)","(0, 2015)"
792,"(25, 2017)","(40, 2017)","(25, 2017)","(102, 2012)","(58, 2015)","(104, 2017)","(102, 2012)","(58, 2014)","(0, 2012)","(4, 2014)","(40, 2017)","(58, 2016)"
793,"(40, 2017)","(8, 2017)","(58, 2015)","(8, 2016)","(40, 2012)","(102, 2017)","(4, 2015)","(4, 2015)","(58, 2015)","(0, 2012)","(19, 2017)","(25, 2012)"
794,"(0, 2017)","(19, 2014)","(102, 2014)","(102, 2016)","(104, 2012)","(40, 2016)","(25, 2014)","(0, 2015)","(104, 2014)","(19, 2013)","(58, 2013)","(25, 2013)"
795,"(40, 2016)","(4, 2016)","(4, 2015)","(19, 2012)","(8, 2016)","(102, 2017)","(4, 2013)","(0, 2017)","(25, 2013)","(4, 2016)","(102, 2016)","(104, 2013)"
796,"(102, 2015)","(0, 2016)","(104, 2017)","(0, 2013)","(40, 2012)","(40, 2016)","(0, 2015)","(104, 2015)","(104, 2013)","(25, 2015)","(25, 2012)","(25, 2017)"
797,"(0, 2012)","(102, 2015)","(25, 2014)","(19, 2012)","(104, 2016)","(40, 2013)","(102, 2016)","(8, 2013)","(19, 2017)","(104, 2013)","(0, 2013)","(0, 2013)"
798,"(102, 2012)","(40, 2016)","(40, 2015)","(19, 2016)","(102, 2017)","(40, 2013)","(40, 2016)","(102, 2016)","(102, 2017)","(8, 2016)","(40, 2016)","(102, 2014)"
799,"(19, 2012)","(19, 2016)","(104, 2014)","(104, 2016)","(4, 2014)","(102, 2015)","(58, 2016)","(40, 2012)","(40, 2015)","(25, 2012)","(4, 2017)","(102, 2014)"
800,"(19, 2017)","(58, 2013)","(104, 2013)","(0, 2014)","(4, 2017)","(4, 2013)","(4, 2016)","(19, 2017)","(4, 2017)","(8, 2014)","(25, 2013)","(104, 2017)"
801,"(25, 2013)","(25, 2012)","(102, 2015)","(25, 2017)","(0, 2016)","(25, 2017)","(102, 2015)","(0, 2012)","(19, 2015)","(102, 2016)","(40, 2017)","(4, 2014)"
802,"(104, 2012)","(104, 2014)","(40, 2016)","(102, 2017)","(4, 2016)","(104, 2016)","(40, 2015)","(4, 2013)","(0, 2013)","(4, 2012)","(19, 2012)","(102, 2015)"
803,"(58, 2017)","(102, 2015)","(19, 2012)","(8, 2016)","(19, 2013)","(40, 2013)","(102, 2013)","(102, 2015)","(0, 2014)","(0, 2015)","(8, 2013)","(102, 2014)"
804,"(8, 2014)","(40, 2017)","(8, 2015)","(58, 2012)","(19, 2015)","(40, 2016)","(8, 2017)","(0, 2017)","(0, 2013)","(104, 2012)","(102, 2012)","(19, 2016)"
805,"(4, 2012)","(102, 2014)","(4, 2015)","(4, 2015)","(19, 2013)","(4, 2014)","(8, 2015)","(25, 2012)","(102, 2013)","(25, 2017)","(25, 2012)","(40, 2014)"
806,"(40, 2013)","(40, 2012)","(58, 2014)","(19, 2012)","(25, 2015)","(104, 2014)","(102, 2015)","(8, 2017)","(4, 2012)","(58, 2017)","(102, 2013)","(40, 2013)"
807,"(4, 2012)","(104, 2015)","(25, 2017)","(4, 2015)","(4, 2013)","(58, 2015)","(25, 2017)","(19, 2014)","(4, 2012)","(0, 2013)","(0, 2012)","(58, 2013)"
808,"(58, 2016)","(104, 2016)","(25, 2017)","(58, 2014)","(25, 2012)","(19, 2017)","(40, 2012)","(8, 2012)","(102, 2016)","(8, 2016)","(25, 2012)","(25, 2015)"
809,"(4, 2013)","(4, 2016)","(104, 2016)","(102, 2017)","(25, 2014)","(104, 2014)","(25, 2016)","(0, 2012)","(0, 2012)","(102, 2017)","(8, 2015)","(58, 2017)"
810,"(0, 2013)","(104, 2015)","(102, 2015)","(4, 2014)","(8, 2016)","(58, 2014)","(104, 2013)","(8, 2014)","(8, 2015)","(102, 2017)","(0, 2015)","(104, 2017)"
811,"(104, 2015)","(40, 2015)","(0, 2014)","(19, 2013)","(8, 2016)","(25, 2014)","(104, 2015)","(104, 2017)","(102, 2014)","(40, 2016)","(19, 2014)","(19, 2012)"
812,"(4, 2014)","(104, 2014)","(104, 2015)","(19, 2017)","(0, 2012)","(104, 2015)","(104, 2017)","(25, 2012)","(40, 2016)","(40, 2016)","(19, 2014)","(25, 2012)"
813,"(8, 2014)","(40, 2014)","(102, 2014)","(0, 2017)","(8, 2016)","(19, 2014)","(104, 2014)","(58, 2013)","(19, 2017)","(25, 2016)","(102, 2012)","(8, 2016)"
814,"(40, 2017)","(4, 2014)","(4, 2017)","(40, 2014)","(40, 2014)","(25, 2017)","(102, 2013)","(4, 2016)","(19, 2017)","(0, 2017)","(0, 2013)","(25, 2012)"
815,"(0, 2015)","(0, 2016)","(58, 2017)","(58, 2015)","(58, 2017)","(104, 2016)","(0, 2014)","(58, 2017)","(8, 2013)","(40, 2017)","(0, 2017)","(0, 2012)"
816,"(25, 2017)","(104, 2013)","(19, 2017)","(102, 2016)","(0, 2016)","(25, 2015)","(102, 2014)","(8, 2013)","(8, 2016)","(8, 2012)","(8, 2017)","(0, 2013)"
817,"(0, 2014)","(25, 2016)","(104, 2016)","(25, 2013)","(58, 2012)","(58, 2013)","(102, 2013)","(8, 2016)","(0, 2014)","(102, 2012)","(19, 2012)","(40, 2012)"
818,"(102, 2014)","(8, 2012)","(102, 2016)","(4, 2015)","(8, 2016)","(102, 2016)","(8, 2012)","(25, 2012)","(0, 2017)","(40, 2014)","(8, 2017)","(25, 2016)"
819,"(19, 2013)","(25, 2016)","(8, 2014)","(25, 2014)","(40, 2013)","(104, 2012)","(19, 2014)","(58, 2016)","(8, 2013)","(58, 2017)","(40, 2017)","(4, 2016)"
820,"(104, 2016)","(8, 2012)","(0, 2016)","(58, 2013)","(25, 2012)","(102, 2016)","(40, 2013)","(104, 2017)","(19, 2015)","(58, 2017)","(8, 2013)","(19, 2016)"
821,"(0, 2016)","(104, 2017)","(40, 2013)","(102, 2016)","(4, 2014)","(8, 2017)","(0, 2012)","(104, 2013)","(102, 2013)","(8, 2012)","(19, 2016)","(4, 2017)"
822,"(19, 2016)","(4, 2014)","(0, 2012)","(102, 2016)","(104, 2016)","(19, 2016)","(19, 2015)","(8, 2013)","(0, 2017)","(4, 2014)","(104, 2017)","(8, 2012)"
823,"(8, 2012)","(102, 2014)","(8, 2017)","(19, 2017)","(102, 2013)","(19, 2012)","(0, 2017)","(25, 2015)","(19, 2017)","(102, 2017)","(40, 2014)","(8, 2014)"
824,"(104, 2016)","(4, 2012)","(58, 2016)","(104, 2013)","(0, 2017)","(40, 2015)","(8, 2015)","(104, 2017)","(19, 2017)","(25, 2014)","(102, 2016)","(102, 2017)"
825,"(4, 2012)","(4, 2012)","(58, 2015)","(19, 2016)","(19, 2016)","(104, 2017)","(4, 2013)","(102, 2016)","(25, 2014)","(0, 2017)","(40, 2017)","(40, 2016)"
826,"(19, 2017)","(58, 2014)","(8, 2013)","(19, 2013)","(25, 2017)","(0, 2017)","(40, 2014)","(104, 2013)","(19, 2012)","(104, 2017)","(102, 2015)","(0, 2015)"
827,"(4, 2017)","(104, 2013)","(58, 2017)","(19, 2013)","(4, 2014)","(8, 2016)","(4, 2013)","(104, 2013)","(25, 2015)","(25, 2017)","(8, 2016)","(40, 2013)"
828,"(4, 2015)","(40, 2013)","(40, 2012)","(0, 2017)","(102, 2014)","(4, 2016)","(19, 2017)","(40, 2013)","(58, 2016)","(58, 2017)","(25, 2016)","(8, 2012)"
829,"(0, 2013)","(0, 2012)","(8, 2016)","(8, 2013)","(4, 2017)","(0, 2012)","(104, 2015)","(25, 2017)","(40, 2015)","(58, 2014)","(40, 2012)","(40, 2015)"
830,"(25, 2016)","(104, 2017)","(58, 2013)","(25, 2012)","(58, 2013)","(40, 2015)","(102, 2014)","(104, 2013)","(0, 2015)","(4, 2014)","(104, 2016)","(0, 2017)"
831,"(104, 2013)","(25, 2013)","(58, 2013)","(104, 2016)","(19, 2015)","(102, 2017)","(8, 2012)","(4, 2015)","(40, 2017)","(8, 2016)","(58, 2017)","(58, 2012)"
832,"(4, 2013)","(40, 2017)","(25, 2013)","(8, 2016)","(104, 2017)","(102, 2014)","(8, 2015)","(8, 2012)","(102, 2015)","(0, 2014)","(25, 2012)","(102, 2012)"
